Year,Field,Plot_No,SMU,Core_No,Tillage,Depth,Lab_No,TotalN.perc,TotalC.perc,InorganicC.perc,OrganicC.perc,pH,Delta_C13,atom_pct
2005,70,47790,138B,1,Disk,0 to 15,G1,0.18,2.37,0.05,2.33,6.02,-15.26,1.0944
2005,70,47790,138B,2,Disk,0 to 15,G5,0.19,2.58,0.05,2.53,5.76,-18.72,1.0906
2005,70,47790,138B,3,Disk,0 to 15,G9,0.18,2.63,0.19,2.43,5.94,-18.36,1.091
2005,70,47790,138B,4,Disk,0 to 15,G13,0.17,2.15,0.05,2.1,6.49,-16.93,1.0926
2005,70,47799,138B,5,Slot,0 to 15,G17,0.18,2.89,0.15,2.74,6.5,-15.17,1.0945
2005,70,47799,138B,6,Slot,0 to 15,G21,0.15,2.25,0.08,2.17,6.62,-18.34,1.0911
2005,70,47799,138B,7,Slot,0 to 15,G25,0.17,2.39,0.05,2.34,6.77,-17.9,1.0915
2005,70,47799,138B,8,Slot,0 to 15,G29,0.17,2.46,0.04,2.42,7.03,-6.16,1.1044
2005,70,47800,107/507,9,Plow,0 to 15,G33,0.13,1.76,0.03,1.73,7.04,-16.21,1.0934
2005,70,47800,107/507,10,Plow,0 to 15,G37,0.13,1.76,0.02,1.74,6.94,-18.16,1.0913
2005,70,47800,107/507,11,Plow,0 to 15,G41,0.14,2.12,0.02,2.1,6.96,-18.31,1.0911
2005,70,47800,107/507,12,Plow,0 to 15,G45,0.17,2.47,0.03,2.44,7.19,-2.78,1.1082
2005,70,47809,138B,13,Disk,0 to 15,G49,0.16,2.66,0.06,2.6,7.12,-17.73,1.0917
2005,70,47809,138B,14,Disk,0 to 15,G53,0.17,2.47,0.06,2.41,7.2,-18.22,1.0912
2005,70,47809,138B,15,Disk,0 to 15,G57,0.15,1.97,0.04,1.93,7.34,-17.75,1.0917
2005,70,47809,138B,16,Disk,0 to 15,G61,0.19,2.59,0.05,2.54,7.39,-20.31,1.0889
2005,70,47808,107/507,17,Till,0 to 15,G65,0.18,2.33,0.04,2.29,7.06,-16.82,1.0927
2005,70,47808,138B,18,Till,0 to 15,G69,0.18,2.77,0.03,2.74,7.04,-16.51,1.0931
2005,70,47808,138B,19,Till,0 to 15,G73,0.18,2.72,0.04,2.68,6.7,-16.12,1.0935
2005,70,47808,107/507,20,Till,0 to 15,G77,0.18,2.59,0.04,2.55,6.82,-16.3,1.0933
2005,70,47801,107/507,21,Chisel,0 to 15,G81,0.22,3.37,0.1,3.27,6.75,-16.93,1.0926
2005,70,47801,107/507,22,Chisel,0 to 15,G85,0.2,2.94,0.04,2.9,6.5,-17.01,1.0925
2005,70,47801,107/507,23,Chisel,0 to 15,G89,0.19,2.55,0.04,2.51,6.55,-16.33,1.0933
2005,70,47801,107/507,24,Chisel,0 to 15,G93,0.15,2.22,0.05,2.17,6.99,-7.22,1.1033
2005,70,47798,107/507,25,Chisel,0 to 15,G97,0.17,2.24,0.05,2.19,7.22,-15.52,1.0942
2005,70,47798,138B,26,Chisel,0 to 15,G101,0.15,2.02,0.06,1.96,6.7,-16.77,1.0928
2005,70,47798,138B,27,Chisel,0 to 15,G105,0.18,2.29,0.07,2.22,6.75,-16.8,1.0928
2005,70,47798,138B,28,Chisel,0 to 15,G109,0.16,2.25,0.06,2.19,6.72,-17.65,1.0918
2005,70,47791,138B,29,Plow,0 to 15,G113,0.18,2.36,0.06,2.3,6.25,-16.54,1.093
2005,70,47791,107/507,30,Plow,0 to 15,G117,0.2,2.65,0.05,2.6,5.64,-16.82,1.0927
2005,70,47791,107/507,31,Plow,0 to 15,G121,0.16,2.26,0.07,2.19,6.05,-16.15,1.0935
2005,70,47791,107/507,32,Plow,0 to 15,G125,0.16,1.95,0.04,1.91,6.26,-17,1.0925
2005,70,47792,107/507,33,Slot,0 to 15,G129,0.25,3.64,0.04,3.6,6.48,-15.99,1.0936
2005,70,47792,107/507,34,Slot,0 to 15,G133,0.26,3.89,0.06,3.83,6.67,-16.03,1.0936
2005,70,47792,107/507,35,Slot,0 to 15,G137,0.24,3.45,0.04,3.41,6.85,16.76,1.1296
2005,70,47792,107/507,36,Slot,0 to 15,G141,0.19,2.63,0.04,2.59,6.46,-13.07,1.0969
2005,70,47797,107/507,37,Till,0 to 15,G145,0.15,2.05,0.04,2.01,6.46,-15.74,1.0939
2005,70,47797,107/507,38,Till,0 to 15,G149,0.2,2.68,0.05,2.63,6.26,-16.74,1.0928
2005,70,47797,107/507,39,Till,0 to 15,G153,0.19,2.65,0.05,2.6,6.51,-16.37,1.0932
2005,70,47797,107/507,40,Till,0 to 15,G157,0.2,2.83,0.001,2.83,6.68,-16.81,1.0927
2005,70,47802,138B,41,Disk,0 to 15,G161,0.21,2.99,0.001,2.99,6.62,-16.28,1.0933
2005,70,47802,138B,42,Disk,0 to 15,G165,0.22,3.15,0.01,3.14,6.65,-15.96,1.0937
2005,70,47802,107/507,43,Disk,0 to 15,G169,0.23,3.21,0.001,3.21,6.71,-17.78,1.0917
2005,70,47802,107/507,44,Disk,0 to 15,G173,0.25,3.73,0.001,3.73,6.75,-16.55,1.093
2005,70,47807,107/507,45,Chisel,0 to 15,G177,0.18,2.43,0.001,2.43,6.54,-17.63,1.0918
2005,70,47807,138B,46,Chisel,0 to 15,G181,0.14,2.06,0.001,2.06,6.52,-15.83,1.0938
2005,70,47807,138B,47,Chisel,0 to 15,G185,0.16,2.01,0.001,2.01,6.63,-16.8,1.0928
2005,70,47807,107/507,48,Chisel,0 to 15,G189,0.2,2.66,0.001,2.66,6.83,-18.27,1.0911
2005,70,47806,138B,49,Plow,0 to 15,G193,0.15,1.86,0.001,1.86,6.28,-16.48,1.0931
2005,70,47806,138B,50,Plow,0 to 15,G197,0.14,1.74,0.001,1.74,6.24,-18.16,1.0913
2005,70,47806,107/507,51,Plow,0 to 15,G201,0.17,2.1,0.001,2.1,6.44,-18.21,1.0912
2005,70,47803,107/507,52,Slot,0 to 15,G205,0.24,3.04,0.001,3.04,6.85,-3.91,1.1069
2005,70,47803,138B,53,Slot,0 to 15,G209,0.16,2.18,0.001,2.18,5.99,-15.48,1.0942
2005,70,47803,138B,54,Slot,0 to 15,G213,0.14,1.77,0.001,1.77,5.75,-17.85,1.0916
2005,70,47803,138B,55,Slot,0 to 15,G217,0.15,1.7,0.001,1.7,6.05,-16.95,1.0926
2005,70,47796,138B,56,Plow,0 to 15,G221,0.17,2.17,0.001,2.17,5.76,-16.7,1.0929
2005,70,47796,138B,57,Plow,0 to 15,G225,0.2,2.56,0.001,2.56,5.73,-17.36,1.0921
2005,70,47796,138B,58,Plow,0 to 15,G229,0.14,2,0.001,2,5.78,-16.02,1.0936
2005,70,47796,138B,59,Plow,0 to 15,G233,0.13,2.01,0.001,2.01,6.12,-16.08,1.0936
2005,70,47793,107/507,60,Till,0 to 15,G237,0.21,3.14,0.001,3.14,6.6,-3.54,1.1073
2005,70,47793,107/507,61,Till,0 to 15,G241,0.2,2.72,0.001,2.72,6.7,-15.16,1.0946
2005,70,47793,107/507,62,Till,0 to 15,G245,0.16,2.35,0.001,2.35,6.51,-16.23,1.0934
2005,70,47793,107/507,63,Till,0 to 15,G249,0.19,2.81,0.04,2.77,6.33,-15.92,1.0937
2005,70,47794,107/507,64,Chisel,0 to 15,G253,0.16,2.43,0.04,2.39,6.59,-16.96,1.0926
2005,70,47794,107/507,65,Chisel,0 to 15,G257,0.15,2.35,0.001,2.35,5.94,-15.65,1.094
2005,70,47794,107/507,66,Chisel,0 to 15,G261,0.2,3.09,0.04,3.05,6.09,-16.26,1.0933
2005,70,47794,107/507,67,Chisel,0 to 15,G265,0.22,3.53,0.05,3.48,6.38,-15.95,1.0937
