,Year,Site country,Location,Latitude,Longitude,Soil information recorded in the paper,pH (surface layer),Crop,Sowing year,Harvest year,Yield of CT,Yield of NT,Sowing month,Harvesting month,P,E,PB,Tave,Tmax,Tmin,ST
0,1997,USA,"Montana, Froid",48.28,-105.1,sandy loam, ,wheat.winter,1992,1992,2567.0,2694.0,9,8,395.8,534.828,-139.028,5.03333,24.7986,-20.09568,Loam
1,1997,USA,"Montana, Froid",48.28,-105.1,sandy loam, ,wheat.winter,1993,1993,2405.0,2439.0,9,8,260.3,590.273,-329.973,5.79167,29.19186,-21.60286,Loam
2,1997,USA,"Montana, Froid",48.28,-105.1,sandy loam, ,wheat.winter,1994,1994,2439.0,2788.0,9,8,397.3,555.26,-157.96,6.86667,29.48728,-16.19572,Loam
3,2019,USA,"Bossier City, Louisiana",32.42,-93.64,sandy loam,6.6,soybean,2016,2016,3005.0,2943.0,6,10,511.9000053,546.6868881,-34.787,26.15999985,35.3316296,14.98488395,Loam
4,2019,USA,"Bossier City, Louisiana",32.42,-93.64,sandy loam,6.6,soybean,2017,2017,3062.0,2670.0,6,10,475.0999966,511.4026107,-36.303,24.96000023,34.27268933,13.00351149,Loam
5,2019,Ethiopia,"Awash River Basin, Addis Ababa",9.07,38.48,clay,,wheat.winter,2009,2009,2750.0,750.0,11,5,415.4,697.924,-282.524,20.41429,24.3614,7.81478,Clay loam
6,2019,Ethiopia,"Awash River Basin, Addis Ababa",9.07,38.48,clay,,wheat.winter,2009,2009,3300.0,860.0,11,5,415.4,697.924,-282.524,20.41429,24.3614,7.81478,Clay loam
7,2019,Ethiopia,"Awash River Basin, Addis Ababa",9.07,38.48,clay,,wheat.winter,2009,2009,3490.0,1080.0,11,5,415.4,697.924,-282.524,20.41429,24.3614,7.81478,Clay loam
8,2019,Ethiopia,"Awash River Basin, Addis Ababa",9.07,38.48,clay,,wheat.winter,2010,2010,1290.0,1200.0,11,5,465.0,702.02,-237.02,20.77143,26.41964,7.69113,Clay loam
9,2019,Ethiopia,"Awash River Basin, Addis Ababa",9.07,38.48,clay,,wheat.winter,2010,2010,1340.0,1160.0,11,5,465.0,702.02,-237.02,20.77143,26.41964,7.69113,Clay loam
