time,longitude,latitude,expver,t2m,tp,ssrd,d2m,msl,u10,v10
2022-01-01,-74.02,40.7,1,271.92236328125,0.003468969730866557,7863216.548639618,266.2705078125,101828.6196515496,1.4375499425720517,-1.0186933788177726
2022-02-01,-74.02,40.7,1,275.0855342039626,0.003136478325751928,10890444.71771474,269.2523504528491,102258.125,1.3904455812303764,0.033807181184004775
2022-03-01,-74.02,40.7,1,279.8657559320662,0.0027620356129563254,14287871.135244839,272.9717010567433,101627.75001430577,1.7756786346435547,-0.1561033310598855
2022-04-01,-74.02,40.7,1,284.1574847667396,0.004103073883397552,20203650.972975448,275.9573107638756,101595.7463339081,1.2531636152916428,-0.3955172817164578
2022-05-01,-74.02,40.7,1,290.42302887953394,0.003782824774390568,19127947.116841897,284.2339750494264,101740.05545011674,-0.6703515648841858,-0.2122366942599803
2022-06-01,-74.02,40.7,1,295.18298469676057,0.0017217523494398464,22635072.85559947,288.09061430941756,101453.19254421437,0.6674944125878176,0.38865548897253055
2022-07-01,-74.02,40.7,1,299.5908203125,0.00152158690925944,22068539.43384249,292.28921952072335,101391.31285192193,1.1186810369128346,0.9433591961860657
2022-08-01,-74.02,40.7,1,298.94399999034357,0.0016497021481438998,19981886.846504815,292.2486189120605,101561.11852902354,0.5904552669386751,0.7054922279798898
2022-09-01,-74.02,40.7,1,293.74663826335586,0.0029640724869366263,15619047.26507256,287.78799327783804,101600.56904918133,0.8828606288647325,-0.3528279326686167
2022-10-01,-74.02,40.7,1,286.7506769460377,0.004304798851744537,10967914.319228482,281.9230888594534,101794.80745292448,0.19686137601318687,-0.8071251122683339
2022-11-01,-74.02,40.7,1,283.13490068040625,0.002853345987109522,8602134.618039768,277.35196259959196,102076.74126012849,1.6703843372229001,0.279040732487306
2022-12-01,-74.02,40.7,1,276.28924486875883,0.0032102440080311115,6527013.765278563,271.15220780048315,102096.74134405567,1.3849961067803886,-0.3457560128953764
2023-01-01,-74.02,40.7,1,278.4403868670531,0.003310599645550466,6267401.894556941,273.8691000770842,101520.99424717318,1.4353104325241115,-0.278241278810223
2023-02-01,-74.02,40.7,1,276.9884187940141,0.001607127029196295,10491269.290067602,270.6637448076017,101767.87471579204,1.3522619349129963,-0.20439128326154185
2023-03-01,-74.02,40.7,1,279.28479982025993,0.0028879675124075747,14538021.069903713,272.24967992330676,101531.24251712878,1.3802558105122484,-1.1299287835843645
2023-04-01,-74.02,40.7,1,286.3060935261743,0.003697830489312016,18496954.255657457,278.99272946514066,101660.81752895488,0.3256705289372134,0.2584879656463265
2023-05-01,-74.02,40.7,1,289.44942074448653,0.0014526557642966513,25258986.0,281.3655629755476,101630.74648078067,0.5831022089479382,-0.16619554990294716
2023-06-01,-74.02,40.7,1,293.51822455951344,0.0030476631966652574,20505841.55597943,287.72562739442816,101096.1875,0.06540213619909774,-0.2026601362337174
2023-07-01,-74.02,40.7,1,299.0039533100213,0.005575580378281383,21078584.373277586,293.7001953125,101279.62798609097,0.6672704615830236,0.9263792221471918
2023-08-01,-74.02,40.7,1,296.69912815424334,0.0036211796799246613,18157211.613904446,291.29722526782786,101330.69203016037,0.4972543237768976,0.15071485493538328
2023-09-01,-74.02,40.7,1,293.7508603281219,0.00656268373131752,14042156.483115379,289.3350020367839,101744.43490111851,-0.4951099036328661,-1.470412254333496
2023-10-01,-74.02,40.7,1,288.5197220830059,0.002922433084888969,11555737.09712664,284.04645883622084,101420.62148554926,1.0416792164311577,-0.3492183069510253
2023-11-01,-74.02,40.7,1,280.6751257477149,0.0016490003604689393,8964053.67243984,274.7648248455215,101996.9359606992,1.320050315390123,-0.32115162535097785
2023-12-01,-74.02,40.7,1,279.0863627762563,0.00562837040672008,5881828.000000002,274.820075158341,101965.12731658095,0.9421329948002162,-0.2778361167398811
2024-01-01,-74.02,40.7,1,275.49085242150187,0.00450449643347497,6186679.752521632,270.77382687026477,101723.8674389239,1.20284928954792,-0.37408052490382315
2024-02-01,-74.02,40.7,1,276.3268212451766,0.0024636978746897754,11806182.717287475,270.47078727570937,101572.37744151801,1.0283541316459135,-0.44063760318635026
2024-03-01,-74.02,40.7,1,,,,,,,
2024-04-01,-74.02,40.7,1,,,,,,,
2022-01-01,-74.02,40.7,5,,,,,,,
2022-02-01,-74.02,40.7,5,,,,,,,
2022-03-01,-74.02,40.7,5,,,,,,,
2022-04-01,-74.02,40.7,5,,,,,,,
2022-05-01,-74.02,40.7,5,,,,,,,
2022-06-01,-74.02,40.7,5,,,,,,,
2022-07-01,-74.02,40.7,5,,,,,,,
2022-08-01,-74.02,40.7,5,,,,,,,
2022-09-01,-74.02,40.7,5,,,,,,,
2022-10-01,-74.02,40.7,5,,,,,,,
2022-11-01,-74.02,40.7,5,,,,,,,
2022-12-01,-74.02,40.7,5,,,,,,,
2023-01-01,-74.02,40.7,5,,,,,,,
2023-02-01,-74.02,40.7,5,,,,,,,
2023-03-01,-74.02,40.7,5,,,,,,,
2023-04-01,-74.02,40.7,5,,,,,,,
2023-05-01,-74.02,40.7,5,,,,,,,
2023-06-01,-74.02,40.7,5,,,,,,,
2023-07-01,-74.02,40.7,5,,,,,,,
2023-08-01,-74.02,40.7,5,,,,,,,
2023-09-01,-74.02,40.7,5,,,,,,,
2023-10-01,-74.02,40.7,5,,,,,,,
2023-11-01,-74.02,40.7,5,,,,,,,
2023-12-01,-74.02,40.7,5,,,,,,,
2024-01-01,-74.02,40.7,5,,,,,,,
2024-02-01,-74.02,40.7,5,,,,,,,
