,index,country,location,latitude,longitude,soil,pH,crop,sowing_year,sowing_month,harvest_year,harvest_month,yield_ct,yield_nt,P,E,PB,Tave,Tmax,Tmin,ST
0,2165,Canada,"Alberta, Alliance",52.44,-111.78,Dark Brown, 5.9 to 7.5,barley.spring,1988,5,1988,9,4470.0,4930.0,331.0,434.608,-103.608,13.5,24.23343,5.19781,Loam
1,2166,Canada,"Alberta, Alliance",52.44,-111.78,Dark Brown, 5.9 to 7.5,barley.spring,1989,5,1989,9,2510.0,2550.0,318.9,418.873,-99.973,13.32,25.1021,3.52934,Loam
2,2167,Canada,"Alberta, Alliance",52.44,-111.78,Dark Brown, 5.9 to 7.5,barley.spring,1990,5,1990,9,5250.0,5080.0,321.2,420.521,-99.321,13.42,23.14965,4.21299,Loam
3,2168,Canada,"Alberta, Alliance",52.44,-111.78,Dark Brown, 5.9 to 7.5,barley.spring,1991,5,1991,9,4300.0,4650.0,346.3,420.089,-73.789,13.4,25.67093,4.5817,Loam
4,3451,Canada,"Alberta, Beaverlodge",55.18,-119.53,Gray Luvisolic,5.8,barley.spring,2007,5,2007,9,2830.0,2973.0,312.2,371.171,-58.971,11.1,23.69311,1.55262,Clay loam
5,3452,Canada,"Alberta, Beaverlodge",55.18,-119.53,Gray Luvisolic,5.8,barley.spring,2007,5,2007,9,2613.0,2458.0,312.2,371.171,-58.971,11.1,23.69311,1.55262,Clay loam
6,3453,Canada,"Alberta, Beaverlodge",55.18,-119.53,Gray Luvisolic,5.8,barley.spring,2007,5,2007,9,3511.0,3258.0,312.2,371.171,-58.971,11.1,23.69311,1.55262,Clay loam
7,3449,Canada,"Alberta, Beaverlodge",55.18,-119.53,clay loam,5.1,barley.spring,1999,5,1999,9,2000.0,2240.0,216.7,359.044,-142.344,9.56,21.58625,0.23129,Clay loam
8,3450,Canada,"Alberta, Beaverlodge",55.18,-119.53,clay loam,5.1,barley.spring,1999,5,1999,9,4400.0,5450.0,216.7,359.044,-142.344,9.56,21.58625,0.23129,Clay loam
9,2632,Canada,"Alberta, Breton",53.12,-114.47,loam, ,barley.spring,1980,5,1980,9,97.0,66.0,563.1,370.931,192.169,12.2,18.45506,3.3794,Loam
10,2633,Canada,"Alberta, Breton",53.12,-114.47,loam, ,barley.spring,1980,5,1980,9,300.0,145.0,563.1,370.931,192.169,12.2,18.45506,3.3794,Loam
11,2634,Canada,"Alberta, Breton",53.12,-114.47,loam, ,barley.spring,1981,5,1981,9,1212.0,920.0,350.0,391.365,-41.365,12.9,24.11698,3.89067,Loam
12,2635,Canada,"Alberta, Breton",53.12,-114.47,loam, ,barley.spring,1981,5,1981,9,679.0,510.0,350.0,391.365,-41.365,12.9,24.11698,3.89067,Loam
13,2636,Canada,"Alberta, Breton",53.12,-114.47,loam, ,barley.spring,1981,5,1981,9,2733.0,1235.0,350.0,391.365,-41.365,12.9,24.11698,3.89067,Loam
14,2637,Canada,"Alberta, Breton",53.12,-114.47,loam, ,barley.spring,1982,5,1982,9,1356.0,1285.0,434.2,367.575,66.625,12.54,20.29448,0.96664,Loam
15,2638,Canada,"Alberta, Breton",53.12,-114.47,loam, ,barley.spring,1982,5,1982,9,1857.0,1522.0,434.2,367.575,66.625,12.54,20.29448,0.96664,Loam
16,2639,Canada,"Alberta, Breton",53.12,-114.47,loam, ,barley.spring,1982,5,1982,9,1559.0,1175.0,434.2,367.575,66.625,12.54,20.29448,0.96664,Loam
17,2640,Canada,"Alberta, Breton",53.12,-114.47,loam, ,barley.spring,1983,5,1983,9,1672.0,1004.0,292.2,376.077,-83.877,12.2,23.8801,1.45953,Loam
18,2641,Canada,"Alberta, Breton",53.12,-114.47,loam, ,barley.spring,1983,5,1983,9,920.0,436.0,292.2,376.077,-83.877,12.2,23.8801,1.45953,Loam
19,2642,Canada,"Alberta, Breton",53.12,-114.47,loam, ,barley.spring,1984,5,1984,9,2976.0,2521.0,365.0,377.891,-12.891,11.46,23.32329,0.81237,Loam
20,2643,Canada,"Alberta, Breton",53.12,-114.47,loam, ,barley.spring,1984,5,1984,9,1298.0,849.0,365.0,377.891,-12.891,11.46,23.32329,0.81237,Loam
21,2644,Canada,"Alberta, Breton",53.12,-114.47,loam, ,barley.spring,1984,5,1984,9,1675.0,928.0,365.0,377.891,-12.891,11.46,23.32329,0.81237,Loam
22,2645,Canada,"Alberta, Breton",53.12,-114.47,loam, ,barley.spring,1987,5,1987,9,3610.0,3081.0,353.9,396.722,-42.822,12.54,21.46827,1.85623,Loam
23,2646,Canada,"Alberta, Breton",53.12,-114.47,loam, ,barley.spring,1987,5,1987,9,1447.0,999.0,353.9,396.722,-42.822,12.54,21.46827,1.85623,Loam
24,2647,Canada,"Alberta, Breton",53.12,-114.47,loam, ,barley.spring,1987,5,1987,9,1196.0,825.0,353.9,396.722,-42.822,12.54,21.46827,1.85623,Loam
25,2648,Canada,"Alberta, Breton",53.12,-114.47,loam, ,barley.spring,1988,5,1988,9,1325.0,1380.0,463.4,397.465,65.935,12.66,20.5253,2.85192,Loam
26,2649,Canada,"Alberta, Breton",53.12,-114.47,loam, ,barley.spring,1988,5,1988,9,1387.0,1285.0,463.4,397.465,65.935,12.66,20.5253,2.85192,Loam
27,2650,Canada,"Alberta, Breton",53.12,-114.47,loam, ,barley.spring,1988,5,1988,9,4130.0,3667.0,463.4,397.465,65.935,12.66,20.5253,2.85192,Loam
28,2651,Canada,"Alberta, Breton",53.12,-114.47,loam, ,barley.spring,1989,5,1989,9,1484.0,1382.0,424.3,398.26,26.04,12.16,21.98111,1.65268,Loam
29,2652,Canada,"Alberta, Breton",53.12,-114.47,loam, ,barley.spring,1989,5,1989,9,465.0,262.0,424.3,398.26,26.04,12.16,21.98111,1.65268,Loam
30,2653,Canada,"Alberta, Breton",53.12,-114.47,loam, ,barley.spring,1989,5,1989,9,512.0,247.0,424.3,398.26,26.04,12.16,21.98111,1.65268,Loam
31,2654,Canada,"Alberta, Breton",53.12,-114.47,loam, ,barley.spring,1990,5,1990,9,1126.0,1385.0,450.3,389.811,60.489,12.68,21.0799,2.61862,Loam
32,2655,Canada,"Alberta, Breton",53.12,-114.47,loam, ,barley.spring,1990,5,1990,9,985.0,1101.0,450.3,389.811,60.489,12.68,21.0799,2.61862,Loam
33,2656,Canada,"Alberta, Breton",53.12,-114.47,loam, ,barley.spring,1990,5,1990,9,3101.0,3199.0,450.3,389.811,60.489,12.68,21.0799,2.61862,Loam
