,index,country,location,latitude,longitude,soil,pH,crop,sowing_year,sowing_month,harvest_year,harvest_month,yield_ct,yield_nt,P,E,PB,Tave,Tmax,Tmin,ST
0,3136,Australia,Munglinup (south coast western australia),-33.58,120.8,available, ,barley.winter,2009,5,2009,12,2810.0,3360.0,316.2,555.275,-239.075,15.05,26.85131,8.23992,Sandy loam
1,3137,Australia,Munglinup (south coast western australia),-33.58,120.8,available, ,barley.winter,2009,5,2009,12,2950.0,2720.0,316.2,555.275,-239.075,15.05,26.85131,8.23992,Sandy loam
2,1786,India,"Uttar Pradesh, Varanasi (Banaras Hindu University)",25.3,83.02,sandy loam, ,barley.winter,1997,10,1998,4,1993.0,1030.0,124.4000001,623.0410664,-498.641,26.27142838,37.76996257,9.006415582,Loam
3,1787,India,"Uttar Pradesh, Varanasi (Banaras Hindu University)",25.3,83.02,sandy loam, ,barley.winter,1997,10,1998,4,1400.0,643.0,124.4000001,623.0410664,-498.641,26.27142838,37.76996257,9.006415582,Loam
4,3797,Japan,Tsukuba,36.02,140.1,Andosol,6.1 to 6.3,barley.winter,1988,11,1989,7,3040.0,4220.0,1297.799991,568.3944125,729.406,16.25555563,27.27219317,3.293118877,Clay loam
5,3798,Japan,Tsukuba,36.02,140.1,Andosol,6.1 to 6.3,barley.winter,1989,11,1990,7,2510.0,1940.0,890.8000164,582.4468297,308.353,17.13333331,29.06140137,1.050654627,Clay loam
6,3799,Japan,Tsukuba,36.02,140.1,Andosol,6.1 to 6.3,barley.winter,1990,11,1991,7,3230.0,3350.0,1158.800007,581.1394089,577.661,17.02222215,30.08262191,1.925029346,Clay loam
7,3800,Japan,Tsukuba,36.02,140.1,Andosol,6.1 to 6.3,barley.winter,1988,11,1989,7,6110.0,9080.0,1297.799991,568.3944125,729.406,16.25555563,27.27219317,3.293118877,Clay loam
8,3801,Japan,Tsukuba,36.02,140.1,Andosol,6.1 to 6.3,barley.winter,1989,11,1990,7,7530.0,6500.0,890.8000164,582.4468297,308.353,17.13333331,29.06140137,1.050654627,Clay loam
9,3802,Japan,Tsukuba,36.02,140.1,Andosol,6.1 to 6.3,barley.winter,1990,11,1991,7,5080.0,5190.0,1158.800007,581.1394089,577.661,17.02222215,30.08262191,1.925029346,Clay loam
10,2833,Spain,Agramunt,41.8,1.12,Typic Xerofluvent,8.5,barley.winter,1996,12,1997,6,2669.0,2244.0,342.2,481.439,-139.239,16.25714,25.40583,2.79712,Loam
11,2834,Spain,Agramunt,41.8,1.12,Typic Xerofluvent,8.5,barley.winter,1996,12,1997,6,2953.0,2433.0,342.2,481.439,-139.239,16.25714,25.40583,2.79712,Loam
12,2835,Spain,Agramunt,41.8,1.12,Typic Xerofluvent,8.5,barley.winter,1996,12,1997,6,2953.0,2433.0,342.2,481.439,-139.239,16.25714,25.40583,2.79712,Loam
13,2836,Spain,Agramunt,41.8,1.12,Typic Xerofluvent,8.5,barley.winter,1997,12,1998,6,3307.0,2268.0,201.1,482.803,-281.703,16.21429,28.46006,2.45313,Loam
