,index,country,location,latitude,longitude,soil,pH,crop,sowing_year,sowing_month,harvest_year,harvest_month,yield_ct,yield_nt,P,E,PB,Tave,Tmax,Tmin,ST
0,2888,India,"New Delhi (Indian Agricultural Research Institute, Pusa, New Delhi)",28.63,77.15,sandy loam,7.5,cotton,2007,4,2007,11,1350.0,1310.0,477.8999853,734.032501,-256.133,29.95000005,39.59510459,13.09515686,Loam
1,2889,India,"New Delhi (Indian Agricultural Research Institute, Pusa, New Delhi)",28.63,77.15,sandy loam,7.5,cotton,2007,4,2007,11,1450.0,1950.0,477.8999853,734.032501,-256.133,29.95000005,39.59510459,13.09515686,Loam
2,1153,South Africa,Lowveld,-20.35,32.35,sandy loam, ,cotton,2000,10,2001,5,2090.0,1860.0,528.4,881.308,-352.908,26.4,30.45016,12.65897,Sandy clay
3,1154,South Africa,Lowveld,-20.35,32.35,sandy loam, ,cotton,2001,10,2002,5,3660.0,2450.0,403.6,928.085,-524.485,27.1125,31.8465,12.90323,Sandy clay
4,1155,South Africa,Lowveld,-20.35,32.35,sandy loam, ,cotton,2002,10,2003,5,4030.0,3800.0,461.8,899.826,-438.026,26.7625,31.28425,14.79527,Sandy clay
5,1156,South Africa,Lowveld,-20.35,32.35,sandy loam, ,cotton,2003,10,2004,5,3650.0,3380.0,385.4,914.019,-528.619,26.4,32.09324,12.5479,Sandy clay
6,1157,South Africa,Lowveld,-20.35,32.35,sandy loam, ,cotton,2004,10,2005,5,2930.0,2270.0,278.3,926.576,-648.276,27.5875,32.77157,12.85598,Sandy clay
7,1158,South Africa,Lowveld,-20.35,32.35,sandy loam, ,cotton,2005,10,2006,5,3400.0,3210.0,421.1000057,864.7600083,-443.66,26.97500014,32.60930412,12.24088804,Sandy clay
8,2982,USA,"Alabama, Belle Mina",34.68,-86.87,silt loam, ,cotton,1997,5,1997,11,1117.0,1472.0,1126.9,575.259,551.641,19.62857,32.29784,3.44662,Loam
9,2983,USA,"Alabama, Belle Mina",34.68,-86.87,silt loam, ,cotton,1997,5,1997,11,1225.0,1448.0,1126.9,575.259,551.641,19.62857,32.29784,3.44662,Loam
10,2984,USA,"Alabama, Belle Mina",34.68,-86.87,silt loam, ,cotton,1997,5,1997,11,1227.0,1258.0,1126.9,575.259,551.641,19.62857,32.29784,3.44662,Loam
11,2985,USA,"Alabama, Belle Mina",34.68,-86.87,silt loam, ,cotton,1998,5,1998,11,1436.0,1576.0,702.3,645.802,56.498,22.35714,32.73566,6.07121,Loam
12,2986,USA,"Alabama, Belle Mina",34.68,-86.87,silt loam, ,cotton,1998,5,1998,11,1506.0,1604.0,702.3,645.802,56.498,22.35714,32.73566,6.07121,Loam
13,2987,USA,"Alabama, Belle Mina",34.68,-86.87,silt loam, ,cotton,1998,5,1998,11,1425.0,1290.0,702.3,645.802,56.498,22.35714,32.73566,6.07121,Loam
14,2988,USA,"Alabama, Belle Mina",34.68,-86.87,silt loam, ,cotton,2000,5,2000,11,1322.0,1322.0,557.9,643.476,-85.576,21.88571,34.06934,4.45515,Loam
15,2989,USA,"Alabama, Belle Mina",34.68,-86.87,silt loam, ,cotton,2000,5,2000,11,1412.0,1322.0,557.9,643.476,-85.576,21.88571,34.06934,4.45515,Loam
16,2990,USA,"Alabama, Belle Mina",34.68,-86.87,silt loam, ,cotton,2000,5,2000,11,1403.0,1313.0,557.9,643.476,-85.576,21.88571,34.06934,4.45515,Loam
17,2991,USA,"Alabama, Belle Mina",34.68,-86.87,silt loam, ,cotton,2001,5,2001,11,1040.0,1223.0,954.1,599.994,354.106,20.85714,31.41694,5.28387,Loam
18,2992,USA,"Alabama, Belle Mina",34.68,-86.87,silt loam, ,cotton,2001,5,2001,11,1226.0,1226.0,954.1,599.994,354.106,20.85714,31.41694,5.28387,Loam
19,2993,USA,"Alabama, Belle Mina",34.68,-86.87,silt loam, ,cotton,2001,5,2001,11,1310.0,1210.0,954.1,599.994,354.106,20.85714,31.41694,5.28387,Loam
20,2994,USA,"Alabama, Belle Mina",34.68,-86.87,silt loam, ,cotton,2003,5,2003,11,1468.0,1554.0,899.3,573.552,325.748,20.98571,31.46007,6.73001,Loam
21,2995,USA,"Alabama, Belle Mina",34.68,-86.87,silt loam, ,cotton,2003,5,2003,11,1427.0,1271.0,899.3,573.552,325.748,20.98571,31.46007,6.73001,Loam
22,2996,USA,"Alabama, Belle Mina",34.68,-86.87,silt loam, ,cotton,2006,5,2006,11,1981.0,1862.0,817.7,626.232,191.468,20.94286,34.1347,4.30739,Loam
23,2997,USA,"Alabama, Belle Mina",34.68,-86.87,silt loam, ,cotton,2006,5,2006,11,1996.0,1701.0,817.7,626.232,191.468,20.94286,34.1347,4.30739,Loam
24,2998,USA,"Alabama, Belle Mina",34.68,-86.87,silt loam, ,cotton,2007,5,2007,11,2021.0,1944.0,503.1,646.892,-143.792,21.97143,36.61162,3.61564,Loam
25,2999,USA,"Alabama, Belle Mina",34.68,-86.87,silt loam, ,cotton,2007,5,2007,11,2012.0,1789.0,503.1,646.892,-143.792,21.97143,36.61162,3.61564,Loam
26,3000,USA,"Alabama, Belle Mina",34.68,-86.87,silt loam, ,cotton,2009,5,2009,11,3582.0,3729.0,1187.2,563.343,623.857,20.15714,32.71052,4.90462,Loam
27,4327,USA,"Alabama, Belle Mina",34.68,-86.87,silt loam, ,cotton,1984,5,1984,11,3108.0,3613.0,864.4,594.359,270.041,20.74286,31.8033,3.01217,Loam
28,157,USA,"Alabama, Shorter",32.42,-85.88,sandy loam, ,cotton,2004,5,2004,11,1110.0,917.0,716.6,619.027,97.573,22.9,33.52886,10.81742,Clay loam
29,158,USA,"Alabama, Shorter",32.42,-85.88,sandy loam, ,cotton,2005,5,2005,11,1536.0,1547.0,630.0,636.273,-6.272,23.05714,32.78787,7.81104,Clay loam
30,159,USA,"Alabama, Shorter",32.42,-85.88,sandy loam, ,cotton,2006,5,2006,11,774.0,855.0,622.9,654.105,-31.205,22.95714,35.26952,5.14283,Clay loam
31,3157,USA,"Georgia, Fort Valley",32.53,-83.85,sandy loam,6.5 to 6.7,cotton,2000,5,2000,11,666.0,1009.0,538.9,694.513,-155.613,22.28571,35.00684,5.9839,Sandy loam
32,3158,USA,"Georgia, Fort Valley",32.53,-83.85,sandy loam,6.5 to 6.7,cotton,2000,5,2000,11,647.0,824.0,538.9,694.513,-155.613,22.28571,35.00684,5.9839,Sandy loam
33,3159,USA,"Georgia, Fort Valley",32.53,-83.85,sandy loam,6.5 to 6.7,cotton,2000,5,2000,11,856.0,837.0,538.9,694.513,-155.613,22.28571,35.00684,5.9839,Sandy loam
34,3160,USA,"Georgia, Fort Valley",32.53,-83.85,sandy loam,6.5 to 6.7,cotton,2002,5,2002,11,787.0,509.0,648.6,654.421,-5.821,22.55714,33.47152,4.91611,Sandy loam
35,3161,USA,"Georgia, Fort Valley",32.53,-83.85,sandy loam,6.5 to 6.7,cotton,2002,5,2002,11,1546.0,692.0,648.6,654.421,-5.821,22.55714,33.47152,4.91611,Sandy loam
36,3162,USA,"Georgia, Fort Valley",32.53,-83.85,sandy loam,6.5 to 6.7,cotton,2002,5,2002,11,1525.0,640.0,648.6,654.421,-5.821,22.55714,33.47152,4.91611,Sandy loam
37,811,USA,"Georgia, Watkinsville",33.0,-83.0,sandy loam, ,cotton,1996,5,1996,11,875.0,1177.0,530.3,647.428,-117.128,22.38571,33.28942,4.39351,Sandy clay loam
38,812,USA,"Georgia, Watkinsville",33.0,-83.0,sandy loam, ,cotton,1996,5,1996,11,1043.0,1251.0,530.3,647.428,-117.128,22.38571,33.28942,4.39351,Sandy clay loam
39,813,USA,"Georgia, Watkinsville",33.0,-83.0,sandy loam, ,cotton,1997,5,1997,11,1003.0,1316.0,664.0,621.566,42.434,21.61429,33.16327,4.50689,Sandy clay loam
40,814,USA,"Georgia, Watkinsville",33.0,-83.0,sandy loam, ,cotton,1997,5,1997,11,1203.0,1364.0,664.0,621.566,42.434,21.61429,33.16327,4.50689,Sandy clay loam
41,815,USA,"Georgia, Watkinsville",33.0,-83.0,sandy loam, ,cotton,1998,5,1998,11,865.0,1206.0,583.9,689.503,-105.603,24.37143,34.80011,8.28145,Sandy clay loam
42,816,USA,"Georgia, Watkinsville",33.0,-83.0,sandy loam, ,cotton,1998,5,1998,11,802.0,1065.0,583.9,689.503,-105.603,24.37143,34.80011,8.28145,Sandy clay loam
43,817,USA,"Georgia, Watkinsville",33.0,-83.0,sandy loam, ,cotton,1999,5,1999,11,528.0,548.0,660.2,640.351,19.849,23.38571,35.18302,5.79057,Sandy clay loam
44,818,USA,"Georgia, Watkinsville",33.0,-83.0,sandy loam, ,cotton,1999,5,1999,11,574.0,583.0,660.2,640.351,19.849,23.38571,35.18302,5.79057,Sandy clay loam
45,1698,USA,"Louisiana, Winnsboro, LSU Macon Ridge Research Station",31.28,-92.13,silt loam, ,cotton,1991,5,1991,10,1108.0,1201.0,857.0,637.181,219.819,25.26667,33.16203,13.56928,Loam
46,1699,USA,"Louisiana, Winnsboro, LSU Macon Ridge Research Station",31.28,-92.13,silt loam, ,cotton,1994,5,1994,10,1112.0,1179.0,931.7,623.708,307.992,24.73333,33.03311,14.49286,Loam
47,2831,USA,"Mississippi, Stoneville",33.42,-90.92,silt loam,,cotton,1997,5,1997,10,1373.0,1204.0,514.4,655.319,-140.919,24.08333,34.02415,11.16953,Clay loam
48,2832,USA,"Mississippi, Stoneville",33.42,-90.92,silt loam, ,cotton,1998,5,1998,10,767.0,693.0,450.4,718.345,-267.945,26.53333,34.69894,12.76201,Clay loam
49,3821,USA,"Oklahoma, Altus",34.63,-99.33,silty clay loam, ,cotton,2003,5,2003,10,474.0,556.0,288.3,606.203,-317.903,24.16667,36.9783,10.99838,Loam
50,3822,USA,"Oklahoma, Altus",34.63,-99.33,silty clay loam, ,cotton,2003,5,2003,10,278.0,316.0,288.3,606.203,-317.903,24.16667,36.9783,10.99838,Loam
51,3823,USA,"Oklahoma, Altus",34.63,-99.33,silty clay loam, ,cotton,2004,5,2004,10,402.0,304.0,346.1,619.724,-273.624,23.81667,33.61978,11.81123,Loam
52,3824,USA,"Oklahoma, Altus",34.63,-99.33,silty clay loam, ,cotton,2004,5,2004,10,671.0,500.0,346.1,619.724,-273.624,23.81667,33.61978,11.81123,Loam
53,3825,USA,"Oklahoma, Altus",34.63,-99.33,silty clay loam, ,cotton,2005,5,2005,10,1347.0,1270.0,409.4,629.597,-220.197,24.03333,35.15804,10.52965,Loam
54,3826,USA,"Oklahoma, Altus",34.63,-99.33,silty clay loam, ,cotton,2005,5,2005,10,760.0,691.0,409.4,629.597,-220.197,24.03333,35.15804,10.52965,Loam
