,index,country,location,latitude,longitude,soil,pH,crop,sowing_year,sowing_month,harvest_year,harvest_month,yield_ct,yield_nt,P,E,PB,Tave,Tmax,Tmin,ST
0,726,Argentina,"Buenos Aires province, Balcarce",-37.75,-58.3,Clay 23.1 silt 35.8 sand 41.1 g/kg ,5.6,maize,2002,10,2002,4,11672.0,11524.0,796.4,664.476,131.924,18.64286,28.47854,8.17972,Clay loam
1,727,Argentina,"Buenos Aires province, Balcarce",-37.75,-58.3,Clay 23.1 silt 35.8 sand 41.1 g/kg ,5.6,maize,2002,10,2002,4,10581.0,8076.0,796.4,664.476,131.924,18.64286,28.47854,8.17972,Clay loam
2,728,Argentina,"Buenos Aires province, Balcarce",-37.75,-58.3,Clay 23.1 silt 35.8 sand 41.1 g/kg ,5.6,maize,2005,10,2005,4,6691.0,6720.0,453.8,649.775,-195.975,17.45714,26.10487,5.44561,Clay loam
3,729,Argentina,"Buenos Aires province, Balcarce",-37.75,-58.3,Clay 23.1 silt 35.8 sand 41.1 g/kg ,5.6,maize,2005,10,2005,4,5394.0,4745.0,453.8,649.775,-195.975,17.45714,26.10487,5.44561,Clay loam
4,3140,Argentina,"Buenos Aires province, Balcarce",-37.75,-58.3,available,5.85 to 6,maize,1997,10,1998,4,8190.0,8590.0,693.9,605.484,88.416,17.51429,25.78936,8.37571,Clay loam
5,3141,Argentina,"Buenos Aires province, Balcarce",-37.75,-58.3,available,5.85 to 6,maize,1997,10,1998,4,8400.0,8720.0,693.9,605.484,88.416,17.51429,25.78936,8.37571,Clay loam
6,3142,Argentina,"Buenos Aires province, Balcarce",-37.75,-58.3,available,5.85 to 6,maize,1997,10,1998,4,8650.0,8160.0,693.9,605.484,88.416,17.51429,25.78936,8.37571,Clay loam
7,3143,Argentina,"Buenos Aires province, Balcarce",-37.75,-58.3,available,5.85 to 6,maize,1997,10,1998,4,7910.0,6150.0,693.9,605.484,88.416,17.51429,25.78936,8.37571,Clay loam
8,665,Argentina,"Buenos Aires province, Drabble",-35.0,-62.0,sandy loam, ,maize,1995,10,1996,4,5237.0,4710.0,536.8,785.074,-248.273,21.97143,31.97755,9.66267,Sandy clay loam
9,666,Argentina,"Buenos Aires province, Drabble",-35.0,-62.0,sandy loam, ,maize,1995,10,1996,4,5048.0,4710.0,536.8,785.074,-248.273,21.97143,31.97755,9.66267,Sandy clay loam
10,667,Argentina,"Buenos Aires province, Drabble",-35.0,-62.0,sandy loam, ,maize,1997,10,1998,4,10089.0,8294.0,952.7,658.403,294.297,20.07143,27.99288,10.87843,Sandy clay loam
11,668,Argentina,"Buenos Aires province, Drabble",-35.0,-62.0,sandy loam, ,maize,1997,10,1998,4,10015.0,8294.0,952.7,658.403,294.297,20.07143,27.99288,10.87843,Sandy clay loam
12,172,Argentina,"Buenos Aires province, Partido de Esteban Echeverría",-34.84,-58.47,Mollisol soil, ,maize,1999,10,2000,4,2800.0,4200.0,722.6,683.012,39.588,22.67143,30.72099,10.55833,Clay loam
13,3786,Argentina,Pampas,-35.37,-60.35,Argiudoll,5.8,maize,2004,10,2005,4,11100.0,9900.0,751.5,687.067,64.433,20.87143,29.30784,7.07495,Sandy clay loam
14,3787,Argentina,Pampas,-35.37,-60.35,Argiudoll,5.8,maize,2005,10,2006,4,11900.0,10100.0,618.2,716.529,-98.329,20.85714,28.29525,7.66359,Sandy clay loam
15,3788,Argentina,Pampas,-35.37,-60.35,Argiudoll,5.8,maize,2006,10,2007,4,12500.0,10000.0,918.9,710.827,208.073,21.44286,29.56511,10.66097,Sandy clay loam
16,669,Argentina,Pampas,-34.5,-62.0,sandy haplic phaeozem, ,maize,1994,10,1994,4,9512.0,6505.0,776.8,775.45,1.35,21.87143,31.3433,10.03088,Sandy clay loam
17,670,Argentina,Pampas,-34.5,-62.0,sandy haplic phaeozem, ,maize,1996,10,1996,4,5125.0,5016.0,706.0,774.062,-68.062,22.77143,31.00206,11.04004,Sandy clay loam
18,671,Argentina,Pampas,-34.5,-62.0,sandy haplic phaeozem, ,maize,1998,10,1998,4,7037.0,8077.0,682.4,754.537,-72.137,21.4,29.02608,9.82596,Sandy clay loam
19,254,Argentina,"Semiarid Pampean Region, Anguil Experimental Station ",-36.5,-63.82,loamy,6.1,maize,2002,10,2002,4,6140.0,8160.0,400.4,731.247,-330.847,22.1,33.71338,9.23935,Loam
20,2918,Australia,Biloela,-24.62,150.87,available, ,maize,1994,11,1994,5,3229.0,3143.0,307.7,758.851,-451.151,24.37143,31.71999,12.02983,Loam
21,2919,Australia,Biloela,-24.62,150.87,available, ,maize,1995,11,1995,5,100.0,855.0,536.8,773.999,-237.199,24.57143,31.90284,11.58385,Loam
22,2920,Australia,Biloela,-24.62,150.87,available, ,maize,2000,11,2000,5,265.0,1698.0,336.0,752.554,-416.554,23.82857,31.72857,8.01619,Loam
23,18,Bangladesh,Dhaka city,24.38,90.13,Aeric Albaquept,7.3,maize,2008,6,2009,9,8189.0,7492.0,1310.699997,373.6813276,937.019,28.69999933,32.45272624,26.20539511,Loam
24,19,Bangladesh,Dhaka city,24.38,90.13,Aeric Albaquept,7.3,maize,2009,6,2010,9,8488.0,7771.0,930.1000137,414.1735998,515.926,29.47500038,34.45892741,26.81484375,Loam
25,20,Bangladesh,Dhaka city,24.38,90.13,Aeric Albaquept,7.3,maize,2010,6,2011,9,8508.0,7910.0,776.3999786,417.0355925,359.364,29.125,33.38662424,26.53099162,Loam
26,21,Bangladesh,Dhaka city,24.38,90.13,Aeric Albaquept,7.3,maize,2008,6,2009,9,9066.0,8388.0,1310.699997,373.6813276,937.019,28.69999933,32.45272624,26.20539511,Loam
27,22,Bangladesh,Dhaka city,24.38,90.13,Aeric Albaquept,7.3,maize,2009,6,2010,9,9245.0,8488.0,930.1000137,414.1735998,515.926,29.47500038,34.45892741,26.81484375,Loam
28,23,Bangladesh,Dhaka city,24.38,90.13,Aeric Albaquept,7.3,maize,2010,6,2011,9,9086.0,9404.0,776.3999786,417.0355925,359.364,29.125,33.38662424,26.53099162,Loam
29,24,Bangladesh,Dhaka city,24.38,90.13,Aeric Albaquept,7.3,maize,2008,6,2009,9,8388.0,7014.0,1310.699997,373.6813276,937.019,28.69999933,32.45272624,26.20539511,Loam
30,25,Bangladesh,Dhaka city,24.38,90.13,Aeric Albaquept,7.3,maize,2009,6,2010,9,8588.0,7233.0,930.1000137,414.1735998,515.926,29.47500038,34.45892741,26.81484375,Loam
31,26,Bangladesh,Dhaka city,24.38,90.13,Aeric Albaquept,7.3,maize,2010,6,2011,9,8747.0,7631.0,776.3999786,417.0355925,359.364,29.125,33.38662424,26.53099162,Loam
32,2959,Bangladesh,Rajshahi,25.0,88.0,sandy loam,8.5,maize,2010,6,2011,9,9400.0,10400.0,741.3,417.193,324.107,29.95,36.4225,27.06985,Loam
33,2960,Bangladesh,Rajshahi,25.0,88.0,sandy loam,8.5,maize,2010,6,2011,9,9400.0,9700.0,741.3,417.193,324.107,29.95,36.4225,27.06985,Loam
34,2961,Bangladesh,Rajshahi,25.0,88.0,sandy loam,8.5,maize,2010,6,2011,9,9300.0,10700.0,741.3,417.193,324.107,29.95,36.4225,27.06985,Loam
35,2962,Bangladesh,Rajshahi,25.0,88.0,sandy loam,8.5,maize,2011,6,2012,9,9410.0,10400.0,1338.6,381.209,957.391,29.3,34.18875,26.68599,Loam
36,2963,Bangladesh,Rajshahi,25.0,88.0,sandy loam,8.5,maize,2011,6,2012,9,9800.0,9800.0,1338.6,381.209,957.391,29.3,34.18875,26.68599,Loam
37,2964,Bangladesh,Rajshahi,25.0,88.0,sandy loam,8.5,maize,2011,6,2012,9,9600.0,10900.0,1338.6,381.209,957.391,29.3,34.18875,26.68599,Loam
38,2965,Bangladesh,Rajshahi,25.0,88.0,sandy loam,8.5,maize,2012,6,2013,9,9900.0,10100.0,1151.7,405.298,746.402,30.05,37.34504,27.14498,Loam
39,2966,Bangladesh,Rajshahi,25.0,88.0,sandy loam,8.5,maize,2012,6,2013,9,10400.0,10100.0,1151.7,405.298,746.402,30.05,37.34504,27.14498,Loam
40,2967,Bangladesh,Rajshahi,25.0,88.0,sandy loam,8.5,maize,2012,6,2013,9,10400.0,11000.0,1151.7,405.298,746.402,30.05,37.34504,27.14498,Loam
41,1891,Belgium,Bottelare,50.96,3.75,,6.4,maize,2007,4,2007,10,19724.0,14345.0,451.2,394.576,56.624,14.41429,21.57546,7.03612,Loam
42,1892,Belgium,Bottelare,50.96,3.75,,6.4,maize,2008,4,2008,10,17862.0,15724.0,442.1,389.641,52.459,14.05714,22.64814,4.93024,Loam
43,1893,Belgium,Bottelare,50.96,3.75,,6.4,maize,2009,4,2009,10,15310.0,10827.0,395.6,410.027,-14.427,14.91429,25.15449,7.44097,Loam
44,1894,Belgium,Bottelare,50.96,3.75,,6.4,maize,2010,4,2010,10,17035.0,14000.0,505.2,402.331,102.869,13.95714,25.63255,4.55366,Loam
45,1895,Belgium,Bottelare,50.96,3.75,,6.4,maize,2011,4,2011,10,18000.0,13862.0,396.5,402.597,-6.097,14.97143,22.05579,8.05933,Loam
