,index,country,location,latitude,longitude,soil,pH,crop,sowing_year,sowing_month,harvest_year,harvest_month,yield_ct,yield_nt,P,E,PB,Tave,Tmax,Tmin,ST
0,2968,Bangladesh,Rajshahi,25.0,88.0,sandy loam,8.5,rice,2011,7,2011,11,4290.0,3770.0,1065.7,440.701,624.999,27.66,33.51244,19.17136,Loam
1,2969,Bangladesh,Rajshahi,25.0,88.0,sandy loam,8.5,rice,2011,7,2011,11,4550.0,4060.0,1065.7,440.701,624.999,27.66,33.51244,19.17136,Loam
2,2970,Bangladesh,Rajshahi,25.0,88.0,sandy loam,8.5,rice,2011,7,2011,11,5050.0,4260.0,1065.7,440.701,624.999,27.66,33.51244,19.17136,Loam
3,2971,Bangladesh,Rajshahi,25.0,88.0,sandy loam,8.5,rice,2012,7,2012,11,4080.0,3680.0,1135.4,429.336,706.064,27.26,33.99582,17.93997,Loam
4,2972,Bangladesh,Rajshahi,25.0,88.0,sandy loam,8.5,rice,2012,7,2012,11,4360.0,4210.0,1135.4,429.336,706.064,27.26,33.99582,17.93997,Loam
5,2973,Bangladesh,Rajshahi,25.0,88.0,sandy loam,8.5,rice,2012,7,2012,11,4390.0,4410.0,1135.4,429.336,706.064,27.26,33.99582,17.93997,Loam
6,2974,Bangladesh,Rajshahi,25.0,88.0,sandy loam,8.5,rice,2013,7,2013,11,5660.0,4580.0,1404.2,436.033,968.167,27.02,34.38263,18.3833,Loam
7,2975,Bangladesh,Rajshahi,25.0,88.0,sandy loam,8.5,rice,2013,7,2013,11,5630.0,4920.0,1404.2,436.033,968.167,27.02,34.38263,18.3833,Loam
8,2976,Bangladesh,Rajshahi,25.0,88.0,sandy loam,8.5,rice,2013,7,2013,11,4830.0,5780.0,1404.2,436.033,968.167,27.02,34.38263,18.3833,Loam
9,3440,China,Chongming Island,31.68,121.56,Estuarine alluvial soil,8.3,rice,2013,5,2013,9,11100.0,9900.0,542.4,502.767,39.633,26.6,36.46287,18.11973,Loam
