,index,country,location,latitude,longitude,soil,pH,crop,sowing_year,sowing_month,harvest_year,harvest_month,yield_ct,yield_nt,P,E,PB,Tave,Tmax,Tmin,ST
0,2921,Australia,Biloela,-24.62,150.87,available, ,sorghum,1993,11,1993,5,1134.0,2135.0,422.1,727.171,-305.071,23.24286,32.22659,10.84462,Loam
1,2922,Australia,Biloela,-24.62,150.87,available, ,sorghum,2001,11,2001,5,1251.0,3406.0,422.4,779.644,-357.244,24.92857,33.38641,13.59021,Loam
2,2923,Australia,Biloela,-24.62,150.87,available, ,sorghum,2002,11,2002,5,492.0,2054.0,314.4,800.671,-486.271,24.21429,33.20257,13.3756,Loam
3,2924,Australia,Biloela,-24.62,150.87,available, ,sorghum,2003,11,2003,5,3816.0,4656.0,534.9,784.198,-249.298,24.2,32.13832,11.89162,Loam
4,73,Australia,"Queensland, Gindie",-23.48,148.15,clay, ,sorghum,1996,11,1996,5,1660.0,2063.0,500.7,772.809,-272.109,26.71429,33.11866,15.08812,Clay loam
5,74,Australia,"Queensland, Gindie",-23.48,148.15,clay, ,sorghum,1996,11,1997,5,2921.0,2949.0,500.7,772.809,-272.109,26.71429,33.11866,15.08812,Clay loam
6,165,Bolivia,Santa Cruz,-17.85,-63.0,Typic Haplustalf, ,sorghum,1991,12,1991,6,2270.0,2240.0,981.5,684.744,296.756,27.22857,30.36019,18.27191,Clay loam
7,2728,Burkina Faso,Gampela,12.42,-1.35,Ferric Lixisol, ,sorghum,2000,6,2000,11,2023.0,2173.0,527.0,613.844,-86.844,27.96667,35.58207,21.36683,Sandy loam
8,2729,Burkina Faso,Gampela,12.42,-1.35,Ferric Lixisol, ,sorghum,2000,6,2000,11,1395.0,1120.0,527.0,613.844,-86.844,27.96667,35.58207,21.36683,Sandy loam
9,2730,Burkina Faso,Gampela,12.42,-1.35,Ferric Lixisol, ,sorghum,2000,6,2000,11,1833.0,1434.0,527.0,613.844,-86.844,27.96667,35.58207,21.36683,Sandy loam
10,2731,Burkina Faso,Gampela,12.42,-1.35,Ferric Lixisol, ,sorghum,2000,6,2000,11,2432.0,1826.0,527.0,613.844,-86.844,27.96667,35.58207,21.36683,Sandy loam
11,2732,Burkina Faso,Gampela,12.42,-1.35,Ferric Lixisol, ,sorghum,2000,6,2000,11,778.0,458.0,527.0,613.844,-86.844,27.96667,35.58207,21.36683,Sandy loam
12,2733,Burkina Faso,Gampela,12.42,-1.35,Ferric Lixisol, ,sorghum,2000,6,2000,11,1320.0,598.0,527.0,613.844,-86.844,27.96667,35.58207,21.36683,Sandy loam
13,2734,Burkina Faso,Gampela,12.42,-1.35,Ferric Lixisol, ,sorghum,2000,6,2000,11,1029.0,395.0,527.0,613.844,-86.844,27.96667,35.58207,21.36683,Sandy loam
14,2735,Burkina Faso,Gampela,12.42,-1.35,Ferric Lixisol, ,sorghum,2001,6,2001,11,1153.0,994.0,597.1,597.185,-0.085,28.15,36.52222,20.42288,Sandy loam
15,2736,Burkina Faso,Gampela,12.42,-1.35,Ferric Lixisol, ,sorghum,2001,6,2001,11,962.0,783.0,597.1,597.185,-0.085,28.15,36.52222,20.42288,Sandy loam
16,2737,Burkina Faso,Gampela,12.42,-1.35,Ferric Lixisol, ,sorghum,2001,6,2001,11,1530.0,1208.0,597.1,597.185,-0.085,28.15,36.52222,20.42288,Sandy loam
17,2738,Burkina Faso,Gampela,12.42,-1.35,Ferric Lixisol, ,sorghum,2001,6,2001,11,1714.0,1350.0,597.1,597.185,-0.085,28.15,36.52222,20.42288,Sandy loam
18,2739,Burkina Faso,Gampela,12.42,-1.35,Ferric Lixisol, ,sorghum,2001,6,2001,11,1524.0,842.0,597.1,597.185,-0.085,28.15,36.52222,20.42288,Sandy loam
19,2740,Burkina Faso,Gampela,12.42,-1.35,Ferric Lixisol, ,sorghum,2001,6,2001,11,2598.0,1245.0,597.1,597.185,-0.085,28.15,36.52222,20.42288,Sandy loam
20,2741,Burkina Faso,Gampela,12.42,-1.35,Ferric Lixisol, ,sorghum,2001,6,2001,11,1191.0,336.0,597.1,597.185,-0.085,28.15,36.52222,20.42288,Sandy loam
21,2452,India,"Madhya Pradesh, Datia (Soil and Water Conservation Research and Training Institute)",25.67,78.47,sandy loam,7.2,sorghum,1998,7,1998,10,2768.0,438.0,714.2,365.076,349.124,28.55,32.80104,20.99182,Sandy clay loam
22,2453,India,"Madhya Pradesh, Datia (Soil and Water Conservation Research and Training Institute)",25.67,78.47,sandy loam,7.2,sorghum,1998,7,1998,10,2412.0,310.0,714.2,365.076,349.124,28.55,32.80104,20.99182,Sandy clay loam
23,2454,India,"Madhya Pradesh, Datia (Soil and Water Conservation Research and Training Institute)",25.67,78.47,sandy loam,7.2,sorghum,1999,7,1999,10,2508.0,357.0,959.0,345.12,613.88,27.875,33.08575,19.79373,Sandy clay loam
24,2455,India,"Madhya Pradesh, Datia (Soil and Water Conservation Research and Training Institute)",25.67,78.47,sandy loam,7.2,sorghum,1999,7,1999,10,1994.0,81.0,959.0,345.12,613.88,27.875,33.08575,19.79373,Sandy clay loam
25,2456,India,"Madhya Pradesh, Datia (Soil and Water Conservation Research and Training Institute)",25.67,78.47,sandy loam,7.2,sorghum,2000,7,2000,10,1778.0,444.0,548.1,350.607,197.493,28.675,36.01158,19.66146,Sandy clay loam
26,2457,India,"Madhya Pradesh, Datia (Soil and Water Conservation Research and Training Institute)",25.67,78.47,sandy loam,7.2,sorghum,2000,7,2000,10,2457.0,183.0,548.1,350.607,197.493,28.675,36.01158,19.66146,Sandy clay loam
27,2458,India,"Madhya Pradesh, Datia (Soil and Water Conservation Research and Training Institute)",25.67,78.47,sandy loam,7.2,sorghum,2001,7,2001,10,2493.0,437.0,599.3,345.629,253.671,28.55,36.06364,20.1673,Sandy clay loam
28,2459,India,"Madhya Pradesh, Datia (Soil and Water Conservation Research and Training Institute)",25.67,78.47,sandy loam,7.2,sorghum,2001,7,2001,10,2148.0,102.0,599.3,345.629,253.671,28.55,36.06364,20.1673,Sandy clay loam
29,1598,Tanzania,Dodoma,-5.17,35.73, Sand clay loam,5.55,sorghum,1996,1,1997,6,1490.0,510.0,621.5999848,640.9207276,-19.321,21.20000013,28.93587099,14.28983154,Sandy clay loam
30,1599,Tanzania,Dodoma,-5.17,35.73, Sand clay loam,5.55,sorghum,1996,1,1997,6,1100.0,1250.0,621.5999848,640.9207276,-19.321,21.20000013,28.93587099,14.28983154,Sandy clay loam
31,1600,Tanzania,Dodoma,-5.17,35.73, Sand clay loam,5.55,sorghum,1999,1,2000,6,1690.0,640.0,479.2999929,617.6433105,-138.343,21.3166666,28.81061663,14.77720337,Sandy clay loam
32,3525,USA,Clarke County (University of Georgia Horseshoe Bend LTREB Agroecosystem),33.93,-83.35,available, ,sorghum,1980,5,1980,10,4652.0,5546.0,616.1,630.255,-14.155,23.46667,33.32039,10.05453,Loam
33,3163,USA,"Georgia, Fort Valley",32.53,-83.85,sandy loam,6.5 to 6.7,sorghum,2001,5,2001,10,3900.0,2200.0,543.3,624.308,-81.008,22.88333,32.96478,8.38367,Sandy loam
34,992,USA,"Georgia, Watkinsville",34.03,-83.42,sandy loam,6,sorghum,2002,5,2002,10,1230.0,830.0,730.6,590.656,139.944,23.31667,32.51623,13.29872,Loam
35,993,USA,"Georgia, Watkinsville",34.03,-83.42,sandy loam,6,sorghum,2002,5,2002,10,1480.0,690.0,730.6,590.656,139.944,23.31667,32.51623,13.29872,Loam
36,994,USA,"Georgia, Watkinsville",34.03,-83.42,sandy loam,6,sorghum,2003,5,2003,10,4140.0,4710.0,937.4,586.38,351.02,22.23333,30.7501,10.46886,Loam
37,995,USA,"Georgia, Watkinsville",34.03,-83.42,sandy loam,6,sorghum,2003,5,2003,10,3730.0,3770.0,937.4,586.38,351.02,22.23333,30.7501,10.46886,Loam
38,996,USA,"Georgia, Watkinsville",34.03,-83.42,sandy loam,6,sorghum,2004,5,2004,10,460.0,1200.0,848.7,576.548,272.152,22.98333,31.83563,13.67549,Loam
39,997,USA,"Georgia, Watkinsville",34.03,-83.42,sandy loam,6,sorghum,2004,5,2004,10,550.0,590.0,848.7,576.548,272.152,22.98333,31.83563,13.67549,Loam
40,3198,USA,"Kansas State University Southwest Research-Extension Center near Tribune, Kansas",38.47,-101.75,silt loam,,sorghum,1991,6,1991,10,1460.0,2460.0,286.9,429.029,-142.129,20.22,33.63147,2.32635,Loam
41,3199,USA,"Kansas State University Southwest Research-Extension Center near Tribune, Kansas",38.47,-101.75,silt loam,,sorghum,1993,6,1993,10,2970.0,4260.0,289.5,430.538,-141.038,18.86,31.45011,2.0708,Loam
42,3200,USA,"Kansas State University Southwest Research-Extension Center near Tribune, Kansas",38.47,-101.75,silt loam,,sorghum,1994,6,1994,10,1240.0,3570.0,300.9,459.766,-158.866,20.64,33.00143,3.86544,Loam
43,3201,USA,"Kansas State University Southwest Research-Extension Center near Tribune, Kansas",38.47,-101.75,silt loam,,sorghum,1995,6,1995,10,2300.0,3700.0,233.8,445.553,-211.753,19.76,34.37559,1.48564,Loam
