,index,country,location,latitude,longitude,soil,pH,crop,sowing_year,sowing_month,harvest_year,harvest_month,yield_ct,yield_nt,P,E,PB,Tave,Tmax,Tmin,ST
0,173,Argentina,"Buenos Aires province, Partido de Esteban Echeverría",-34.84,-58.47,Mollisol soil, ,soybean,1998,11,1999,4,2500.0,1500.0,631.9,607.016,24.884,22.65,27.86424,9.55986,Clay loam
1,264,Argentina,Pampas,-34.45,-58.67," fine clayey, illitic, thermic Typical Argiudol;",6,soybean,2005,11,2005,4,2800.0,2500.0,672.3,632.229,40.071,23.25,28.56637,11.96635,Silt loam
2,265,Argentina,Pampas,-34.45,-58.67," fine clayey, illitic, thermic Typical Argiudol;",6,soybean,2005,11,2005,4,3500.0,2700.0,672.3,632.229,40.071,23.25,28.56637,11.96635,Silt loam
3,266,Argentina,Pampas,-34.45,-58.67," fine clayey, illitic, thermic Typical Argiudol;",6,soybean,2006,11,2006,4,2800.0,2420.0,902.0,610.986,291.014,23.53333,29.39312,12.52937,Silt loam
4,267,Argentina,Pampas,-34.45,-58.67," fine clayey, illitic, thermic Typical Argiudol;",6,soybean,2006,11,2006,4,3200.0,2650.0,902.0,610.986,291.014,23.53333,29.39312,12.52937,Silt loam
5,268,Argentina,Pampas,-34.45,-58.67," fine clayey, illitic, thermic Typical Argiudol;",6,soybean,2007,11,2007,4,2760.0,2400.0,547.2,649.417,-102.217,23.5,29.72175,11.01831,Silt loam
6,269,Argentina,Pampas,-34.45,-58.67," fine clayey, illitic, thermic Typical Argiudol;",6,soybean,2007,11,2007,4,3000.0,2600.0,547.2,649.417,-102.217,23.5,29.72175,11.01831,Silt loam
7,270,Argentina,Pampas,-34.45,-58.67," fine clayey, illitic, thermic Typical Argiudol;",6,soybean,2005,11,2005,4,3300.0,2700.0,672.3,632.229,40.071,23.25,28.56637,11.96635,Silt loam
8,271,Argentina,Pampas,-34.45,-58.67," fine clayey, illitic, thermic Typical Argiudol;",6,soybean,2005,11,2005,4,2650.0,2500.0,672.3,632.229,40.071,23.25,28.56637,11.96635,Silt loam
9,272,Argentina,Pampas,-34.45,-58.67," fine clayey, illitic, thermic Typical Argiudol;",6,soybean,2006,11,2006,4,3000.0,2650.0,902.0,610.986,291.014,23.53333,29.39312,12.52937,Silt loam
10,273,Argentina,Pampas,-34.45,-58.67," fine clayey, illitic, thermic Typical Argiudol;",6,soybean,2006,11,2006,4,2560.0,2420.0,902.0,610.986,291.014,23.53333,29.39312,12.52937,Silt loam
11,274,Argentina,Pampas,-34.45,-58.67," fine clayey, illitic, thermic Typical Argiudol;",6,soybean,2007,11,2007,4,2920.0,2600.0,547.2,649.417,-102.217,23.5,29.72175,11.01831,Silt loam
12,275,Argentina,Pampas,-34.45,-58.67," fine clayey, illitic, thermic Typical Argiudol;",6,soybean,2007,11,2007,4,2500.0,2400.0,547.2,649.417,-102.217,23.5,29.72175,11.01831,Silt loam
13,3424,Australia,"NSW, Grafton",-29.75,152.92,silt loam, ,soybean,1987,11,1987,5,1762.0,2720.0,819.2,655.218,163.982,23.28571,28.06956,12.96529,Loam
14,3425,Australia,"NSW, Grafton",-29.75,152.92,silt loam, ,soybean,1988,11,1988,5,1455.0,1438.0,1326.0,642.159,683.841,23.68571,27.45484,13.98427,Loam
15,3426,Australia,"NSW, Grafton",-29.75,152.92,silt loam, ,soybean,1989,11,1989,5,1503.0,1990.0,1257.0,657.124,599.876,23.4,28.32189,11.8418,Loam
16,3427,Australia,"NSW, Grafton",-29.75,152.92,silt loam, ,soybean,1990,11,1990,5,1229.0,2617.0,602.3,708.181,-105.881,25.02857,29.77963,12.68969,Loam
17,3428,Australia,"NSW, Grafton",-29.75,152.92,silt loam, ,soybean,1991,11,1991,5,649.0,988.0,910.1,635.654,274.446,23.5,27.59438,11.4541,Loam
18,3429,Australia,"NSW, Grafton",-29.75,152.92,silt loam, ,soybean,1992,11,1992,5,2714.0,3309.0,580.1,693.223,-113.123,23.71429,28.63458,11.79549,Loam
19,3430,Australia,"NSW, Grafton",-29.75,152.92,silt loam, ,soybean,1993,11,1993,5,779.0,1192.0,568.3,646.187,-77.887,23.17143,30.13818,8.29359,Loam
20,3431,Australia,"NSW, Grafton",-29.75,152.92,silt loam, ,soybean,1994,11,1994,5,2348.0,2802.0,708.5,674.353,34.147,23.71429,28.69493,15.19034,Loam
21,166,Bolivia,Santa Cruz,-17.85,-63.0,Typic Haplustalf, ,soybean,1989,11,1990,5,2150.0,2090.0,1043.0,792.601,250.399,28.38571,32.43272,17.13706,Clay loam
22,167,Bolivia,Santa Cruz,-17.85,-63.0,Typic Haplustalf, ,soybean,1990,11,1991,5,2710.0,2340.0,1063.3,771.358,291.942,29.24286,31.17334,19.53539,Clay loam
23,168,Bolivia,Santa Cruz,-17.85,-63.0,Typic Haplustalf, ,soybean,1991,11,1992,5,2510.0,2460.0,1035.8,733.253,302.547,28.41429,30.36019,18.70055,Clay loam
24,287,Brazil,Lages,-27.78,-50.3,silty clay,4.5 to 5.1,soybean,2013,11,2014,4,3230.0,2980.0,994.9,634.678,360.222,22.91667,27.469,12.71711,Clay
25,288,Brazil,Lages,-27.78,-50.3,silty clay,4.5 to 5.1,soybean,2014,11,2015,4,3070.0,2270.0,1220.1,617.722,602.378,22.71667,26.71177,12.57553,Clay
