,index,country,location,latitude,longitude,soil,pH,crop,sowing_year,sowing_month,harvest_year,harvest_month,yield_ct,yield_nt,P,E,PB,Tave,Tmax,Tmin,ST
0,685,Argentina,Pampas,-34.5,-62.0,sandy haplic phaeozem, ,sunflower,1995,10,1995,4,2586.0,2304.0,598.8,797.125,-198.325,22.42857,31.99995,9.58594,Sandy clay loam
1,686,Argentina,Pampas,-34.5,-62.0,sandy haplic phaeozem, ,sunflower,1997,10,1997,4,1585.0,1633.0,1016.0,668.676,347.324,20.67143,28.04054,11.00756,Sandy clay loam
2,169,Bolivia,Santa Cruz,-17.85,-63.0,Typic Haplustalf, ,sunflower,1992,12,1992,5,1380.0,1100.0,719.5,695.084,24.416,29.61667,31.29821,16.73386,Clay loam
3,3274,Turkey,Diyarbakir Province,37.88,40.27,clay loam,7.7,sunflower,2003,5,2003,8,35226.0,39832.0,21.8,436.249,-414.449,27.05,38.53233,11.99749,Clay loam
4,2617,USA,"Kansas, Garden City (Southwest Reseach-Extension Center)",37.99,-100.82,silt loam,7.8,sunflower,1993,6,1993,10,3530.0,3700.0,311.7,469.59,-157.89,20.02,31.78592,3.43443,Sandy loam
5,2618,USA,"Kansas, Garden City (Southwest Reseach-Extension Center)",37.99,-100.82,silt loam,7.8,sunflower,1994,6,1994,10,2030.0,2800.0,367.4,491.834,-124.434,21.82,33.81494,5.66872,Sandy loam
6,2619,USA,"Kansas, Garden City (Southwest Reseach-Extension Center)",37.99,-100.82,silt loam,7.8,sunflower,1995,6,1995,10,2180.0,2470.0,271.0,469.366,-198.366,20.86,34.49125,2.97303,Sandy loam
7,1183,USA,"North Dakota, Mandan",46.82,-100.88,silt loam,6.4,sunflower,1987,5,1987,10,2201.0,2388.0,352.5,483.363,-130.863,15.88333,29.04359,-2.28589,Loam
8,1184,USA,"North Dakota, Mandan",46.82,-100.88,silt loam,6.4,sunflower,1987,5,1987,10,2260.0,2360.0,352.5,483.363,-130.863,15.88333,29.04359,-2.28589,Loam
9,1185,USA,"North Dakota, Mandan",46.82,-100.88,silt loam,6.4,sunflower,1987,5,1987,10,1977.0,2064.0,352.5,483.363,-130.863,15.88333,29.04359,-2.28589,Loam
10,1186,USA,"North Dakota, Mandan",46.82,-100.88,silt loam,6.4,sunflower,1987,5,1987,10,1906.0,1888.0,352.5,483.363,-130.863,15.88333,29.04359,-2.28589,Loam
11,1187,USA,"North Dakota, Mandan",46.82,-100.88,silt loam,6.4,sunflower,1987,5,1987,10,1975.0,1951.0,352.5,483.363,-130.863,15.88333,29.04359,-2.28589,Loam
12,1188,USA,"North Dakota, Mandan",46.82,-100.88,silt loam,6.4,sunflower,1987,5,1987,10,1808.0,1783.0,352.5,483.363,-130.863,15.88333,29.04359,-2.28589,Loam
13,1189,USA,"North Dakota, Mandan",46.82,-100.88,silt loam,6.4,sunflower,1988,5,1988,10,935.0,1173.0,201.0,496.658,-295.658,17.31667,32.61848,-1.78006,Loam
14,1190,USA,"North Dakota, Mandan",46.82,-100.88,silt loam,6.4,sunflower,1988,5,1988,10,791.0,882.0,201.0,496.658,-295.658,17.31667,32.61848,-1.78006,Loam
15,1191,USA,"North Dakota, Mandan",46.82,-100.88,silt loam,6.4,sunflower,1988,5,1988,10,940.0,1006.0,201.0,496.658,-295.658,17.31667,32.61848,-1.78006,Loam
16,1192,USA,"North Dakota, Mandan",46.82,-100.88,silt loam,6.4,sunflower,1988,5,1988,10,900.0,924.0,201.0,496.658,-295.658,17.31667,32.61848,-1.78006,Loam
17,1193,USA,"North Dakota, Mandan",46.82,-100.88,silt loam,6.4,sunflower,1988,5,1988,10,1051.0,1010.0,201.0,496.658,-295.658,17.31667,32.61848,-1.78006,Loam
18,1194,USA,"North Dakota, Mandan",46.82,-100.88,silt loam,6.4,sunflower,1988,5,1988,10,761.0,730.0,201.0,496.658,-295.658,17.31667,32.61848,-1.78006,Loam
19,1195,USA,"North Dakota, Mandan",46.82,-100.88,silt loam,6.4,sunflower,1989,5,1989,10,238.0,839.0,205.4,469.257,-263.857,16.25,32.35002,-0.99539,Loam
20,1196,USA,"North Dakota, Mandan",46.82,-100.88,silt loam,6.4,sunflower,1989,5,1989,10,340.0,809.0,205.4,469.257,-263.857,16.25,32.35002,-0.99539,Loam
21,1197,USA,"North Dakota, Mandan",46.82,-100.88,silt loam,6.4,sunflower,1989,5,1989,10,464.0,783.0,205.4,469.257,-263.857,16.25,32.35002,-0.99539,Loam
22,1198,USA,"North Dakota, Mandan",46.82,-100.88,silt loam,6.4,sunflower,1989,5,1989,10,442.0,737.0,205.4,469.257,-263.857,16.25,32.35002,-0.99539,Loam
23,1199,USA,"North Dakota, Mandan",46.82,-100.88,silt loam,6.4,sunflower,1989,5,1989,10,406.0,669.0,205.4,469.257,-263.857,16.25,32.35002,-0.99539,Loam
24,1200,USA,"North Dakota, Mandan",46.82,-100.88,silt loam,6.4,sunflower,1989,5,1989,10,366.0,811.0,205.4,469.257,-263.857,16.25,32.35002,-0.99539,Loam
25,1201,USA,"North Dakota, Mandan",46.82,-100.88,silt loam,6.4,sunflower,1990,5,1990,10,12.0,692.0,238.1,477.824,-239.724,16.48333,29.85329,-1.73499,Loam
26,1202,USA,"North Dakota, Mandan",46.82,-100.88,silt loam,6.4,sunflower,1990,5,1990,10,61.0,505.0,238.1,477.824,-239.724,16.48333,29.85329,-1.73499,Loam
27,1203,USA,"North Dakota, Mandan",46.82,-100.88,silt loam,6.4,sunflower,1990,5,1990,10,163.0,659.0,238.1,477.824,-239.724,16.48333,29.85329,-1.73499,Loam
28,1204,USA,"North Dakota, Mandan",46.82,-100.88,silt loam,6.4,sunflower,1990,5,1990,10,153.0,468.0,238.1,477.824,-239.724,16.48333,29.85329,-1.73499,Loam
29,1205,USA,"North Dakota, Mandan",46.82,-100.88,silt loam,6.4,sunflower,1990,5,1990,10,181.0,543.0,238.1,477.824,-239.724,16.48333,29.85329,-1.73499,Loam
30,1206,USA,"North Dakota, Mandan",46.82,-100.88,silt loam,6.4,sunflower,1990,5,1990,10,266.0,444.0,238.1,477.824,-239.724,16.48333,29.85329,-1.73499,Loam
31,1207,USA,"North Dakota, Mandan",46.82,-100.88,silt loam,6.4,sunflower,1991,5,1991,10,203.0,619.0,331.0,473.002,-142.002,16.4,31.20156,-2.69845,Loam
32,1208,USA,"North Dakota, Mandan",46.82,-100.88,silt loam,6.4,sunflower,1991,5,1991,10,198.0,573.0,331.0,473.002,-142.002,16.4,31.20156,-2.69845,Loam
33,1209,USA,"North Dakota, Mandan",46.82,-100.88,silt loam,6.4,sunflower,1991,5,1991,10,185.0,512.0,331.0,473.002,-142.002,16.4,31.20156,-2.69845,Loam
34,1210,USA,"North Dakota, Mandan",46.82,-100.88,silt loam,6.4,sunflower,1991,5,1991,10,430.0,536.0,331.0,473.002,-142.002,16.4,31.20156,-2.69845,Loam
