,index,country,location,latitude,longitude,soil,pH,crop,sowing_year,sowing_month,harvest_year,harvest_month,yield_ct,yield_nt,P,E,PB,Tave,Tmax,Tmin,ST
0,170,Bolivia,Santa Cruz,-17.85,-63.0,Typic Haplustalf, ,wheat.spring,1989,3,1989,8,1460.0,1560.0,595.2,415.619,179.581,22.81667,29.05759,14.52299,Clay loam
1,171,Bolivia,Santa Cruz,-17.85,-63.0,Typic Haplustalf, ,wheat.spring,1990,3,1990,8,1440.0,1400.0,552.4,434.643,117.757,22.55,30.76461,13.45217,Clay loam
2,89,Canada,"Alberta, Beaverlodge",55.2,-119.38,silt loam,5.3,wheat.spring,1993,5,1993,9,3457.0,3132.0,362.8,360.521,2.279,11.22,19.63982,2.31763,Clay loam
3,90,Canada,"Alberta, Beaverlodge",55.2,-119.38,silt loam,5.3,wheat.spring,1994,5,1994,9,3089.0,2870.0,417.8,381.367,36.433,12.14,22.28035,2.28527,Clay loam
4,91,Canada,"Alberta, Beaverlodge",55.2,-119.38,silt loam,5.3,wheat.spring,1995,5,1995,9,4494.0,4417.0,321.3,380.641,-59.341,11.26,19.59802,3.13068,Clay loam
5,86,Canada,"Alberta, Rycroft",55.72,-118.68,clay,5.4,wheat.spring,1994,5,1994,9,2824.0,3247.0,356.3,403.232,-46.932,13.76,23.10267,3.78969,Clay loam
6,87,Canada,"Alberta, Rycroft",55.72,-118.68,clay,5.4,wheat.spring,1989,5,1989,9,960.0,1090.0,452.9,395.063,57.837,13.36,22.77721,3.27449,Clay loam
7,88,Canada,"Alberta, Rycroft",55.72,-118.68,clay,5.4,wheat.spring,1990,5,1990,9,1170.0,960.0,290.1,407.789,-117.689,13.8,23.99237,3.91459,Clay loam
8,3961,Canada,"Alberta, Three Hills",51.7,-113.22,Clay loam, ,wheat.spring,2000,5,2000,9,1608.0,2323.0,258.2,408.35,-150.15,11.64,25.65182,2.64796,Loam
9,3962,Canada,"Alberta, Three Hills",51.7,-113.22,Clay loam, ,wheat.spring,2001,5,2001,9,1895.0,2235.0,162.3,405.518,-243.218,13.38,28.18925,4.02946,Loam
10,3963,Canada,"Alberta, Three Hills",51.7,-113.22,Clay loam, ,wheat.spring,2002,5,2002,9,391.0,966.0,224.1,384.919,-160.819,12.68,27.54841,0.99583,Loam
11,3964,Canada,"Alberta, Three Hills",51.7,-113.22,Clay loam, ,wheat.spring,2003,5,2003,9,2676.0,2764.0,157.3,412.215,-254.915,13.36,26.94302,2.90929,Loam
12,2359,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2000,5,2001,8,2487.0,2931.0,423.9999924,357.7056422,66.294,16.94999981,24.43928774,7.507235619,Clay loam
13,2360,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2001,5,2002,8,4992.0,3269.0,253.6999931,391.5445489,-137.845,18.75,28.28292748,8.792523784,Clay loam
14,2361,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2002,5,2003,8,3127.0,1848.0,377.8999863,398.3515041,-20.452,17.55000019,27.46193769,5.065074798,Clay loam
15,2362,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2003,5,2004,8,1688.0,2150.0,366.4000015,393.3758242,-26.976,18.12499976,26.23229587,7.394084315,Clay loam
16,2363,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2004,5,2005,8,1457.0,1404.0,318.9999924,373.2172506,-54.217,17.2249999,25.85471861,6.487088603,Clay loam
17,2364,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2005,5,2006,8,977.0,1137.0,313.1000061,412.8973724,-99.797,18.87500024,27.47704487,5.370266822,Clay loam
18,2365,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2006,5,2007,8,2576.0,3003.0,400.5,387.3700328,13.13,18.50000048,27.61563996,8.785931003,Clay loam
19,2366,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2007,5,2008,8,2043.0,2914.0,338.4000015,407.8363656,-69.436,17.85000014,25.75909424,6.652300435,Clay loam
20,2367,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2008,5,2009,8,604.0,1652.0,360.8000031,377.4359932,-16.636,17.39999986,25.35930215,5.509025328,Clay loam
21,2368,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2009,5,2010,8,906.0,1492.0,404.3000031,358.5875094,45.712,17.02500033,25.05208465,6.344274213,Clay loam
22,2369,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2010,5,2011,8,1794.0,1759.0,358.1000023,395.698246,-37.598,18.92499971,28.0173458,9.083638837,Clay loam
23,2370,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2011,5,2012,8,1155.0,1190.0,318.7999992,388.6339109,-69.834,18.85000014,27.28399461,8.089126587,Clay loam
24,2371,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2012,5,2013,8,1919.0,2345.0,221.0,423.6918213,-202.692,19.45000029,29.5631517,7.416781026,Clay loam
25,2372,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2013,5,2014,8,1492.0,1475.0,358.9000015,388.2624807,-29.362,18.0999999,27.06916858,6.992688087,Clay loam
26,2373,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2014,5,2015,8,409.0,515.0,437.3000031,373.7275272,63.572,17.92500019,25.28543583,7.383103401,Clay loam
27,2374,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2015,5,2001,8,3749.0,3447.0,320.8999977,403.6716999,-82.772,18.47500014,26.78851712,7.948397236,Clay loam
28,2375,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2001,5,2002,8,6556.0,5170.0,253.6999931,391.5445489,-137.845,18.75,28.28292748,8.792523784,Clay loam
29,2376,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2002,5,2003,8,3873.0,3234.0,377.8999863,398.3515041,-20.452,17.55000019,27.46193769,5.065074798,Clay loam
30,2377,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2003,5,2004,8,2843.0,2363.0,366.4000015,393.3758242,-26.976,18.12499976,26.23229587,7.394084315,Clay loam
31,2378,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2004,5,2005,8,3322.0,4015.0,318.9999924,373.2172506,-54.217,17.2249999,25.85471861,6.487088603,Clay loam
32,2379,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2005,5,2006,8,693.0,871.0,313.1000061,412.8973724,-99.797,18.87500024,27.47704487,5.370266822,Clay loam
33,2380,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2006,5,2007,8,5881.0,4193.0,400.5,387.3700328,13.13,18.50000048,27.61563996,8.785931003,Clay loam
34,2381,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2007,5,2008,8,3980.0,3695.0,338.4000015,407.8363656,-69.436,17.85000014,25.75909424,6.652300435,Clay loam
35,2382,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2008,5,2009,8,2274.0,2310.0,360.8000031,377.4359932,-16.636,17.39999986,25.35930215,5.509025328,Clay loam
36,2383,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2009,5,2010,8,2132.0,1919.0,404.3000031,358.5875094,45.712,17.02500033,25.05208465,6.344274213,Clay loam
37,2384,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2010,5,2011,8,2985.0,2594.0,358.1000023,395.698246,-37.598,18.92499971,28.0173458,9.083638837,Clay loam
38,2385,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2011,5,2012,8,1848.0,2061.0,318.7999992,388.6339109,-69.834,18.85000014,27.28399461,8.089126587,Clay loam
39,2386,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2012,5,2013,8,3802.0,3340.0,221.0,423.6918213,-202.692,19.45000029,29.5631517,7.416781026,Clay loam
40,2387,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2013,5,2014,8,3678.0,3553.0,358.9000015,388.2624807,-29.362,18.0999999,27.06916858,6.992688087,Clay loam
41,2388,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2014,5,2015,8,2185.0,1546.0,437.3000031,373.7275272,63.572,17.92500019,25.28543583,7.383103401,Clay loam
42,2389,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2000,5,2001,8,3553.0,3571.0,423.9999924,357.7056422,66.294,16.94999981,24.43928774,7.507235619,Clay loam
43,2390,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2001,5,2002,8,6503.0,6023.0,253.6999931,391.5445489,-137.845,18.75,28.28292748,8.792523784,Clay loam
44,2391,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2002,5,2003,8,4104.0,3198.0,377.8999863,398.3515041,-20.452,17.55000019,27.46193769,5.065074798,Clay loam
45,2392,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2003,5,2004,8,2736.0,2896.0,366.4000015,393.3758242,-26.976,18.12499976,26.23229587,7.394084315,Clay loam
46,2393,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2004,5,2005,8,3553.0,3536.0,318.9999924,373.2172506,-54.217,17.2249999,25.85471861,6.487088603,Clay loam
47,2394,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2005,5,2006,8,1102.0,1190.0,313.1000061,412.8973724,-99.797,18.87500024,27.47704487,5.370266822,Clay loam
48,2395,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2006,5,2007,8,5863.0,5348.0,400.5,387.3700328,13.13,18.50000048,27.61563996,8.785931003,Clay loam
49,2396,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2007,5,2008,8,4228.0,4655.0,338.4000015,407.8363656,-69.436,17.85000014,25.75909424,6.652300435,Clay loam
50,2397,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2008,5,2009,8,2487.0,2096.0,360.8000031,377.4359932,-16.636,17.39999986,25.35930215,5.509025328,Clay loam
51,2398,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2009,5,2010,8,1883.0,1990.0,404.3000031,358.5875094,45.712,17.02500033,25.05208465,6.344274213,Clay loam
52,2399,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2010,5,2011,8,3056.0,2843.0,358.1000023,395.698246,-37.598,18.92499971,28.0173458,9.083638837,Clay loam
53,2400,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2011,5,2012,8,2150.0,1930.0,318.7999992,388.6339109,-69.834,18.85000014,27.28399461,8.089126587,Clay loam
54,2401,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2012,5,2013,8,3784.0,3536.0,221.0,423.6918213,-202.692,19.45000029,29.5631517,7.416781026,Clay loam
55,2402,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2013,5,2014,8,4069.0,3695.0,358.9000015,388.2624807,-29.362,18.0999999,27.06916858,6.992688087,Clay loam
56,2403,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,wheat.spring,2014,5,2015,8,2878.0,1528.0,437.3000031,373.7275272,63.572,17.92500019,25.28543583,7.383103401,Clay loam
57,2184,Canada,"Saskatchewan, Cantuar",50.38,-108.0,clay, ,wheat.spring,1987,5,1987,9,962.0,869.0,213.699996,405.5630162,-191.863,16.01999989,25.14972738,5.692740377,Loam
58,2185,Canada,"Saskatchewan, Cantuar",50.38,-108.0,clay, ,wheat.spring,1988,5,1988,9,425.0,383.0,184.4999981,446.5288669,-262.029,17.41999989,28.43632813,4.352996318,Loam
59,2186,Canada,"Saskatchewan, Cantuar",50.38,-108.0,clay, ,wheat.spring,1989,5,1989,9,1143.0,1269.0,359.3999977,413.4693584,-54.069,15.53999996,27.34607918,4.048872917,Loam
60,2187,Canada,"Saskatchewan, Cantuar",50.38,-108.0,clay, ,wheat.spring,1990,5,1990,9,528.0,605.0,209.7999959,412.9209552,-203.121,15.85999985,25.39266082,3.486356674,Loam
61,2188,Canada,"Saskatchewan, Cantuar",50.38,-108.0,clay, ,wheat.spring,1993,5,1993,9,2122.0,2252.0,352.4999981,383.9509712,-31.451,13.83999996,21.95050639,3.133978017,Loam
62,138,Canada,"Saskatchewan, Central Butte",50.78,-106.5,available, ,wheat.spring,2005,5,2005,9,2460.0,2430.0,320.3,401.257,-80.957,14.54,25.24008,3.02664,Loam
63,139,Canada,"Saskatchewan, Central Butte",50.78,-106.5,available, ,wheat.spring,2007,5,2007,9,2620.0,2400.0,211.8,422.586,-210.786,14.74,29.52203,3.62106,Loam
64,151,Canada,"Saskatchewan, Melfort",52.85,-104.6,silty clay loam, ,wheat.spring,1994,5,1994,9,3460.0,3960.0,268.9999981,390.4791039,-121.479,14.66000004,22.76541827,3.768566009,Clay loam
65,152,Canada,"Saskatchewan, Melfort",52.85,-104.6,silty clay loam, ,wheat.spring,1995,5,1995,9,4660.0,4500.0,213.0999993,409.9745296,-196.875,14.63999996,23.95811971,3.558947655,Clay loam
66,153,Canada,"Saskatchewan, Melfort",52.85,-104.6,silty clay loam, ,wheat.spring,1996,5,1996,9,4860.0,5200.0,270.6000023,387.5657813,-116.966,14.07999983,24.70429254,2.152213312,Clay loam
67,154,Canada,"Saskatchewan, Melfort",52.85,-104.6,silty clay loam, ,wheat.spring,1997,5,1997,9,4990.0,5100.0,255.5000076,393.4365098,-137.937,15.18000011,24.6779352,2.598487608,Clay loam
68,140,Canada,"Saskatchewan, Rosthern",50.78,-106.5,available, ,wheat.spring,2006,5,2006,9,3260.0,3290.0,272.1,438.216,-166.116,16.18,26.91783,5.66977,Loam
69,141,Canada,"Saskatchewan, Rosthern",50.78,-106.5,available, ,wheat.spring,2007,5,2007,9,1770.0,1980.0,211.8,422.586,-210.786,14.74,29.52203,3.62106,Loam
70,2199,Canada,"Saskatchewan, Stewart Valley",50.6,-107.81,sandy loam, ,wheat.spring,1989,5,1989,9,1663.0,2277.0,359.3999977,413.4693584,-54.069,15.53999996,27.34607918,4.048872917,Loam
71,2200,Canada,"Saskatchewan, Stewart Valley",50.6,-107.81,sandy loam, ,wheat.spring,1990,5,1990,9,2159.0,2385.0,209.7999959,412.9209552,-203.121,15.85999985,25.39266082,3.486356674,Loam
72,2201,Canada,"Saskatchewan, Stewart Valley",50.6,-107.81,sandy loam, ,wheat.spring,1990,5,1990,9,3317.0,3552.0,209.7999959,412.9209552,-203.121,15.85999985,25.39266082,3.486356674,Loam
73,2202,Canada,"Saskatchewan, Stewart Valley",50.6,-107.81,sandy loam, ,wheat.spring,1993,5,1993,9,2782.0,2758.0,352.4999981,383.9509712,-31.451,13.83999996,21.95050639,3.133978017,Loam
74,2203,Canada,"Saskatchewan, Stewart Valley",50.6,-107.81,sandy loam, ,wheat.spring,1993,5,1993,9,3738.0,3051.0,352.4999981,383.9509712,-31.451,13.83999996,21.95050639,3.133978017,Loam
75,338,Canada,"Saskatchewan, Swift Current",53.02,-106.4,loam, ,wheat.spring,1993,5,1993,9,2594.0,2585.0,327.9,366.735,-38.835,13.3,21.79406,1.3617,Silt loam
76,339,Canada,"Saskatchewan, Swift Current",53.02,-106.4,loam, ,wheat.spring,1993,5,1993,9,2425.0,2407.0,327.9,366.735,-38.835,13.3,21.79406,1.3617,Silt loam
77,340,Canada,"Saskatchewan, Swift Current",53.02,-106.4,loam, ,wheat.spring,1993,5,1993,9,1528.0,1493.0,327.9,366.735,-38.835,13.3,21.79406,1.3617,Silt loam
78,341,Canada,"Saskatchewan, Swift Current",53.02,-106.4,loam, ,wheat.spring,1993,5,1993,9,2278.0,2207.0,327.9,366.735,-38.835,13.3,21.79406,1.3617,Silt loam
79,342,Canada,"Saskatchewan, Swift Current",53.02,-106.4,loam, ,wheat.spring,1993,5,1993,9,1879.0,1815.0,327.9,366.735,-38.835,13.3,21.79406,1.3617,Silt loam
80,343,Canada,"Saskatchewan, Swift Current",53.02,-106.4,loam, ,wheat.spring,1993,5,1993,9,992.0,911.0,327.9,366.735,-38.835,13.3,21.79406,1.3617,Silt loam
81,2204,Canada,"Saskatchewan, Swift Current",50.29,-107.79,loam, ,wheat.spring,1990,5,1990,9,2059.0,2285.0,209.7999959,412.9209552,-203.121,15.85999985,25.39266082,3.486356674,Loam
82,2205,Canada,"Saskatchewan, Swift Current",50.29,-107.79,loam, ,wheat.spring,1990,5,1990,9,2625.0,2401.0,209.7999959,412.9209552,-203.121,15.85999985,25.39266082,3.486356674,Loam
83,2206,Canada,"Saskatchewan, Swift Current",50.29,-107.79,loam, ,wheat.spring,1989,5,1989,9,2065.0,1746.0,359.3999977,413.4693584,-54.069,15.53999996,27.34607918,4.048872917,Loam
84,2207,Canada,"Saskatchewan, Swift Current",50.29,-107.79,loam, ,wheat.spring,1989,5,1989,9,2302.0,1767.0,359.3999977,413.4693584,-54.069,15.53999996,27.34607918,4.048872917,Loam
85,2208,Canada,"Saskatchewan, Swift Current",50.29,-107.79,loam, ,wheat.spring,1990,5,1990,9,2014.0,2285.0,209.7999959,412.9209552,-203.121,15.85999985,25.39266082,3.486356674,Loam
86,2209,Canada,"Saskatchewan, Swift Current",50.29,-107.79,loam, ,wheat.spring,1990,5,1990,9,2321.0,2401.0,209.7999959,412.9209552,-203.121,15.85999985,25.39266082,3.486356674,Loam
87,2210,Canada,"Saskatchewan, Swift Current",50.29,-107.79,loam, ,wheat.spring,1989,5,1989,9,2121.0,1746.0,359.3999977,413.4693584,-54.069,15.53999996,27.34607918,4.048872917,Loam
88,2211,Canada,"Saskatchewan, Swift Current",50.29,-107.79,loam, ,wheat.spring,1989,5,1989,9,2249.0,1767.0,359.3999977,413.4693584,-54.069,15.53999996,27.34607918,4.048872917,Loam
89,2212,Canada,"Saskatchewan, Swift Current",50.29,-107.79,loam, ,wheat.spring,1990,5,1990,9,1937.0,2285.0,209.7999959,412.9209552,-203.121,15.85999985,25.39266082,3.486356674,Loam
90,2213,Canada,"Saskatchewan, Swift Current",50.29,-107.79,loam, ,wheat.spring,1990,5,1990,9,2480.0,2401.0,209.7999959,412.9209552,-203.121,15.85999985,25.39266082,3.486356674,Loam
91,2214,Canada,"Saskatchewan, Swift Current",50.29,-107.79,loam, ,wheat.spring,1989,5,1989,9,1762.0,1746.0,359.3999977,413.4693584,-54.069,15.53999996,27.34607918,4.048872917,Loam
