,index,country,location,latitude,longitude,soil,pH,crop,sowing_year,sowing_month,harvest_year,harvest_month,yield_ct,yield_nt,P,E,PB,Tave,Tmax,Tmin,ST
0,470,Algeria,Setif,36.13,5.33,steppic brown soil,8.2,wheat.winter,2009,12,2010,7,232.0,223.0,303.3,537.565,-234.265,14.1375,37.69548,2.43876,Loam
1,471,Algeria,Setif,36.13,5.33,steppic brown soil,8.2,wheat.winter,2010,12,2011,7,253.0,302.0,323.8,534.869,-211.069,13.6125,37.0095,1.81859,Loam
2,3305,Argentina,"La Plata, Estacion Experimental J. Hirschhorn",-34.92,-57.95,loamy,6.1,wheat.winter,2002,6,2002,12,4040.0,4063.0,646.1,414.196,231.904,15.32857,26.20251,4.29895,Clay loam
3,3306,Argentina,"La Plata, Estacion Experimental J. Hirschhorn",-34.92,-57.95,loamy,6.1,wheat.winter,2002,6,2002,12,6037.0,5964.0,646.1,414.196,231.904,15.32857,26.20251,4.29895,Clay loam
4,3307,Argentina,"La Plata, Estacion Experimental J. Hirschhorn",-34.92,-57.95,loamy,6.1,wheat.winter,2002,6,2002,12,6347.0,6005.0,646.1,414.196,231.904,15.32857,26.20251,4.29895,Clay loam
5,3308,Argentina,"La Plata, Estacion Experimental J. Hirschhorn",-34.92,-57.95,loamy,6.1,wheat.winter,2002,6,2002,12,5684.0,5223.0,646.1,414.196,231.904,15.32857,26.20251,4.29895,Clay loam
6,3309,Argentina,"La Plata, Estacion Experimental J. Hirschhorn",-34.92,-57.95,loamy,6.1,wheat.winter,2002,6,2002,12,3918.0,3469.0,646.1,414.196,231.904,15.32857,26.20251,4.29895,Clay loam
7,3310,Argentina,"La Plata, Estacion Experimental J. Hirschhorn",-34.92,-57.95,loamy,6.1,wheat.winter,2002,6,2002,12,7192.0,6235.0,646.1,414.196,231.904,15.32857,26.20251,4.29895,Clay loam
8,3311,Argentina,"La Plata, Estacion Experimental J. Hirschhorn",-34.92,-57.95,loamy,6.1,wheat.winter,2002,6,2002,12,5536.0,5160.0,646.1,414.196,231.904,15.32857,26.20251,4.29895,Clay loam
9,3312,Argentina,"La Plata, Estacion Experimental J. Hirschhorn",-34.92,-57.95,loamy,6.1,wheat.winter,2003,6,2003,12,5045.0,5602.0,557.3,440.173,117.127,14.67143,25.85117,4.12789,Clay loam
10,3313,Argentina,"La Plata, Estacion Experimental J. Hirschhorn",-34.92,-57.95,loamy,6.1,wheat.winter,2003,6,2003,12,5399.0,5720.0,557.3,440.173,117.127,14.67143,25.85117,4.12789,Clay loam
11,3314,Argentina,"La Plata, Estacion Experimental J. Hirschhorn",-34.92,-57.95,loamy,6.1,wheat.winter,2003,6,2003,12,2617.0,2180.0,557.3,440.173,117.127,14.67143,25.85117,4.12789,Clay loam
12,3315,Argentina,"La Plata, Estacion Experimental J. Hirschhorn",-34.92,-57.95,loamy,6.1,wheat.winter,2003,6,2003,12,5397.0,4220.0,557.3,440.173,117.127,14.67143,25.85117,4.12789,Clay loam
13,3316,Argentina,"La Plata, Estacion Experimental J. Hirschhorn",-34.92,-57.95,loamy,6.1,wheat.winter,2003,6,2003,12,3278.0,2384.0,557.3,440.173,117.127,14.67143,25.85117,4.12789,Clay loam
14,3317,Argentina,"La Plata, Estacion Experimental J. Hirschhorn",-34.92,-57.95,loamy,6.1,wheat.winter,2003,6,2003,12,4639.0,3314.0,557.3,440.173,117.127,14.67143,25.85117,4.12789,Clay loam
15,3318,Argentina,"La Plata, Estacion Experimental J. Hirschhorn",-34.92,-57.95,loamy,6.1,wheat.winter,2003,6,2003,12,4396.0,3903.0,557.3,440.173,117.127,14.67143,25.85117,4.12789,Clay loam
16,255,Argentina,"Semiarid Pampean Region, Anguil Experimental Station ",-36.5,-63.82,loamy,6.1,wheat.winter,2002,6,2002,12,2600.0,3340.0,410.4,437.897,-27.497,13.38571,28.49724,0.06973,Loam
17,2925,Australia,Biloela,-24.62,150.87,available, ,wheat.winter,1987,5,1987,11,635.0,646.0,292.6,479.984,-187.384,16.91429,27.00694,7.85067,Loam
18,2926,Australia,Biloela,-24.62,150.87,available, ,wheat.winter,1988,5,1988,11,4411.0,3787.0,265.5,516.076,-250.576,17.81429,28.75036,9.79586,Loam
19,2927,Australia,Biloela,-24.62,150.87,available, ,wheat.winter,1989,5,1989,11,3372.0,3210.0,414.5,491.044,-76.544,16.24286,28.23492,6.72812,Loam
20,2928,Australia,Biloela,-24.62,150.87,available, ,wheat.winter,1990,5,1990,11,1245.0,1601.0,169.5,514.546,-345.046,16.44286,29.74453,6.30594,Loam
21,2929,Australia,Biloela,-24.62,150.87,available, ,wheat.winter,1991,5,1991,11,1919.0,2016.0,126.7,500.312,-373.612,17.64286,29.35184,6.32281,Loam
22,2930,Australia,Biloela,-24.62,150.87,available, ,wheat.winter,1996,5,1996,11,2013.0,3166.0,296.8,518.213,-221.413,16.48571,30.61649,4.85195,Loam
23,2931,Australia,Biloela,-24.62,150.87,available, ,wheat.winter,1997,5,1997,11,1551.0,2036.0,286.7,499.349,-212.648,16.58571,29.74657,5.07535,Loam
24,2932,Australia,Biloela,-24.62,150.87,available, ,wheat.winter,1998,5,1998,11,1417.0,1772.0,377.0,476.178,-99.178,16.88571,27.71486,6.84111,Loam
25,2933,Australia,Biloela,-24.62,150.87,available, ,wheat.winter,1999,5,1999,11,1498.0,2500.0,261.6,471.288,-209.688,16.51429,28.70048,9.55339,Loam
26,3138,Australia,Munglinup (south coast western australia),-33.58,120.8,available, ,wheat.winter,2011,5,2011,11,4470.0,3750.0,415.3,388.707,26.593,14.6,24.39017,9.38457,Sandy loam
27,3139,Australia,Munglinup (south coast western australia),-33.58,120.8,available, ,wheat.winter,2011,5,2011,11,3500.0,2740.0,415.3,388.707,26.593,14.6,24.39017,9.38457,Sandy loam
28,75,Australia,"Queensland, Gindie",-23.48,148.15,clay, ,wheat.winter,1991,5,1991,11,1542.0,1604.0,187.0,521.408,-334.408,20.34286,34.03646,6.68356,Clay loam
29,805,Australia,"Victoria, Boxwood",-36.3,145.75, ,6.5,wheat.winter,1981,5,1981,11,900.0,1100.0,953.5,286.068,667.432,11.07143,21.71518,3.71368,Loam
30,806,Australia,"Victoria, Boxwood",-36.3,145.75, ,6,wheat.winter,1981,5,1981,11,900.0,1000.0,953.5,286.068,667.432,11.07143,21.71518,3.71368,Loam
31,807,Australia,"Victoria, Boxwood",-36.3,145.75, ,6,wheat.winter,1981,5,1981,11,900.0,900.0,953.5,286.068,667.432,11.07143,21.71518,3.71368,Loam
32,808,Australia,"Victoria, Boxwood",-36.3,145.75, ,6.4,wheat.winter,1981,5,1981,11,1400.0,1200.0,953.5,286.068,667.432,11.07143,21.71518,3.71368,Loam
33,809,Australia,"Victoria, Boxwood",-36.3,145.75, ,6,wheat.winter,1981,5,1981,11,700.0,600.0,953.5,286.068,667.432,11.07143,21.71518,3.71368,Loam
34,810,Australia,"Victoria, Boxwood",-36.3,145.75, ,6.4,wheat.winter,1981,5,1981,11,1300.0,1000.0,953.5,286.068,667.432,11.07143,21.71518,3.71368,Loam
35,510,Australia,"Victoria, Rutherglen",-36.1,146.42,sandy clay loam,4.4,wheat.winter,1983,5,1984,11,2080.0,2220.0,476.0,267.235,208.765,11.58571,22.51912,4.13844,Sandy clay loam
36,511,Australia,"Victoria, Rutherglen",-36.1,146.42,sandy clay loam,4.4,wheat.winter,1983,5,1984,11,4010.0,3530.0,476.0,267.235,208.765,11.58571,22.51912,4.13844,Sandy clay loam
37,1906,Australia,"Victoria, Walpeup (Mallee Research Station)",-35.12,141.98,sandy loam, ,wheat.winter,1987,5,1987,11,1740.0,1760.0,217.1,302.641,-85.541,12.9,26.69245,5.21766,Sandy loam
38,1907,Australia,"Victoria, Walpeup (Mallee Research Station)",-35.12,141.98,sandy loam, ,wheat.winter,1988,5,1988,11,2220.0,2170.0,276.4,302.596,-26.196,13.58571,23.44457,7.46996,Sandy loam
39,1908,Australia,"Victoria, Walpeup (Mallee Research Station)",-35.12,141.98,sandy loam, ,wheat.winter,1989,5,1989,11,2540.0,2510.0,240.1,301.767,-61.667,12.42857,27.36168,4.98456,Sandy loam
40,1909,Australia,"Victoria, Walpeup (Mallee Research Station)",-35.12,141.98,sandy loam, ,wheat.winter,1990,5,1990,11,2110.0,1890.0,178.9,319.733,-140.833,13.18571,27.99901,5.96166,Sandy loam
41,1910,Australia,"Victoria, Walpeup (Mallee Research Station)",-35.12,141.98,sandy loam, ,wheat.winter,1993,5,1993,11,3110.0,2580.0,256.7,317.064,-60.364,13.1,25.37554,6.23339,Sandy loam
42,1911,Australia,"Victoria, Walpeup (Mallee Research Station)",-35.12,141.98,sandy loam, ,wheat.winter,1994,5,1994,11,1140.0,1220.0,132.2,305.084,-172.884,12.95714,24.36088,4.4506,Sandy loam
43,1912,Australia,"Victoria, Walpeup (Mallee Research Station)",-35.12,141.98,sandy loam, ,wheat.winter,1995,5,1995,11,2640.0,2340.0,213.4,309.664,-96.264,12.71429,25.45839,6.65177,Sandy loam
44,1913,Australia,"Victoria, Walpeup (Mallee Research Station)",-35.12,141.98,sandy loam, ,wheat.winter,1996,5,1996,11,2240.0,2160.0,191.5,312.369,-120.869,12.62857,24.04048,7.06797,Sandy loam
45,1914,Australia,"Victoria, Walpeup (Mallee Research Station)",-35.12,141.98,sandy loam, ,wheat.winter,1997,5,1997,11,730.0,770.0,179.4,305.764,-126.364,12.91429,27.38588,4.61862,Sandy loam
46,1915,Australia,"Victoria, Walpeup (Mallee Research Station)",-35.12,141.98,sandy loam, ,wheat.winter,1998,5,1998,11,1990.0,1450.0,207.3,306.594,-99.294,12.81429,23.55282,5.60868,Sandy loam
47,1916,Australia,"Victoria, Walpeup (Mallee Research Station)",-35.12,141.98,sandy loam, ,wheat.winter,1999,5,1999,11,1480.0,1400.0,227.3,316.467,-89.167,13.32857,23.43021,7.04418,Sandy loam
48,1917,Australia,"Victoria, Walpeup (Mallee Research Station)",-35.12,141.98,sandy loam, ,wheat.winter,2000,5,2000,11,3020.0,3040.0,194.1,301.662,-107.562,12.95714,27.8843,6.1195,Sandy loam
49,1253,Australia,"Western Australia, Merredin",-30.5,118.37," 25% clay, 13% silt and 62% sand ",6.25,wheat.winter,1981,5,1981,11,568.0,977.0,291.8,325.443,-33.643,14.17143,26.45393,5.7552,Sandy loam
50,1254,Australia,"Western Australia, Merredin",-30.5,118.37," 25% clay, 13% silt and 62% sand ",6.25,wheat.winter,1981,5,1981,11,1070.0,1362.0,291.8,325.443,-33.643,14.17143,26.45393,5.7552,Sandy loam
51,1255,Australia,"Western Australia, Merredin",-30.5,118.37," 25% clay, 13% silt and 62% sand ",6.25,wheat.winter,1982,5,1982,11,583.0,1026.0,217.8,328.226,-110.426,15.17143,31.402,4.75334,Sandy loam
52,1256,Australia,"Western Australia, Merredin",-30.5,118.37," 25% clay, 13% silt and 62% sand ",6.25,wheat.winter,1982,5,1982,11,583.0,799.0,217.8,328.226,-110.426,15.17143,31.402,4.75334,Sandy loam
53,244,Belgium,Maulde,50.62,3.57,Luvisol,6.8,wheat.winter,2006,10,2006,8,7700.0,8400.0,717.7,420.673,297.027,12.76364,22.1966,3.17683,Loam
54,964,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,wheat.winter,1990,4,1990,10,613.0,653.0,826.1,470.079,356.021,18.11429,29.68433,11.11677,Clay
55,965,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,wheat.winter,1991,4,1991,10,2500.0,2237.0,460.3,484.31,-24.01,19.17143,29.06375,11.26545,Clay
56,966,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,wheat.winter,1994,4,1994,10,3044.0,2328.0,625.1,508.367,116.733,19.9,29.85309,12.04282,Clay
57,967,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,wheat.winter,1996,4,1996,10,2611.0,2543.0,463.3,477.086,-13.786,19.1,28.10857,10.81355,Clay
58,968,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,wheat.winter,1996,4,1996,10,2593.0,2302.0,463.3,477.086,-13.786,19.1,28.10857,10.81355,Clay
59,969,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,wheat.winter,1997,4,1997,10,1305.0,1970.0,806.2,484.426,321.774,19.35714,28.30815,12.67796,Clay
60,970,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,wheat.winter,1997,4,1997,10,1327.0,1852.0,806.2,484.426,321.774,19.35714,28.30815,12.67796,Clay
61,971,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,wheat.winter,1998,4,1998,10,3224.0,2881.0,912.5,468.571,443.929,18.8,25.97025,12.42004,Clay
62,972,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,wheat.winter,1999,4,1999,10,2638.0,2425.0,563.6,512.334,51.266,18.3,28.09383,12.932,Clay
63,973,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,wheat.winter,2000,4,2000,10,3060.0,2870.0,534.9,497.223,37.677,18.97143,30.39508,9.81056,Clay
64,974,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,wheat.winter,2000,4,2000,10,3060.0,2735.0,534.9,497.223,37.677,18.97143,30.39508,9.81056,Clay
65,975,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,wheat.winter,2001,4,2001,10,2227.0,2176.0,597.6,507.841,89.759,19.27143,29.78952,12.66483,Clay
66,976,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,wheat.winter,2001,4,2001,10,2219.0,2120.0,597.6,507.841,89.759,19.27143,29.78952,12.66483,Clay
67,977,Brazil,"Parana, Londrina, Embrapa Soybean experiment station",-23.18,-51.18,Eutroferric Red Latosol,5.5,wheat.winter,2002,4,2002,10,3366.0,2746.0,602.4,537.267,65.133,21.0,33.06665,12.0175,Clay
