,country,location,latitude,longitude,ph,crop,sowing_year,sowing_month,harvest_year,harvest_month,yield
0,USA,"Montana, Froid",48.28,-105.1, ,wheat.winter,1992,9,1992,8,2694.0
1,USA,"Montana, Froid",48.28,-105.1, ,wheat.winter,1993,9,1993,8,2439.0
2,USA,"Montana, Froid",48.28,-105.1, ,wheat.winter,1994,9,1994,8,2788.0
3,USA,"Bossier City, Louisiana",32.42,-93.64,6.6,soybean,2016,6,2016,10,2943.0
4,USA,"Bossier City, Louisiana",32.42,-93.64,6.6,soybean,2017,6,2017,10,2670.0
5,Ethiopia,"Awash River Basin, Addis Ababa",9.07,38.48,,wheat.winter,2009,11,2009,5,750.0
6,Ethiopia,"Awash River Basin, Addis Ababa",9.07,38.48,,wheat.winter,2009,11,2009,5,860.0
7,Ethiopia,"Awash River Basin, Addis Ababa",9.07,38.48,,wheat.winter,2009,11,2009,5,1080.0
8,Ethiopia,"Awash River Basin, Addis Ababa",9.07,38.48,,wheat.winter,2010,11,2010,5,1200.0
9,Ethiopia,"Awash River Basin, Addis Ababa",9.07,38.48,,wheat.winter,2010,11,2010,5,1160.0
10,Ethiopia,"Awash River Basin, Addis Ababa",9.07,38.48,,wheat.winter,2010,11,2010,5,1350.0
11,Ethiopia,"Awash River Basin, Addis Ababa",9.07,38.48,,wheat.winter,2011,11,2011,5,930.0
12,Ethiopia,"Awash River Basin, Addis Ababa",9.07,38.48,,wheat.winter,2011,11,2011,5,960.0
13,Ethiopia,"Awash River Basin, Addis Ababa",9.07,38.48,,wheat.winter,2011,11,2011,5,1200.0
14,China,"Ningxiang, hunan",28.6,112.6,5.6,rice,2017,3,2017,6,6749.0
15,USA,"North Dakota, Carrington (NDSU Research Extension Center)",47.46,-99.12, ,soybean,1991,5,1991,10,2620.0
16,USA,"North Dakota, Carrington (NDSU Research Extension Center)",47.46,-99.12, ,soybean,1991,5,1991,10,2570.0
17,USA,"North Dakota, Carrington (NDSU Research Extension Center)",47.46,-99.12, ,soybean,1991,5,1991,10,2520.0
18,Bangladesh,Dhaka city,24.38,90.13,7.3,maize,2008,6,2009,9,7492.0
19,Bangladesh,Dhaka city,24.38,90.13,7.3,maize,2009,6,2010,9,7771.0
20,Bangladesh,Dhaka city,24.38,90.13,7.3,maize,2010,6,2011,9,7910.0
21,Bangladesh,Dhaka city,24.38,90.13,7.3,maize,2008,6,2009,9,8388.0
22,Bangladesh,Dhaka city,24.38,90.13,7.3,maize,2009,6,2010,9,8488.0
23,Bangladesh,Dhaka city,24.38,90.13,7.3,maize,2010,6,2011,9,9404.0
