year,month,mean_precipitation_flux,surface_pressure,surface_thermal_radiation_downwards,evaporation,10m_v_component_of_wind,surface_solar_radiation_downwards,10m_u_component_of_wind,2m_temperature
1970,1,3.126774e-06,69196.484,151.72815,6.02212e-07,-1.1542821,369.34677,0.56705827,247.73524
1970,1,3.126774e-06,69196.484,151.72815,6.02212e-07,-1.1542821,369.34677,0.56705827,247.73524
1970,1,3.1267891e-06,69196.484,151.72849,6.020624e-07,-1.1279895,369.34616,0.616751,247.73538
1970,1,3.1267891e-06,69196.484,151.72849,6.020624e-07,-1.1279895,369.34616,0.616751,247.73538
1970,1,3.1268742e-06,69196.484,151.72853,6.021475e-07,-1.0996708,369.34616,0.6656464,247.7355
1970,1,3.1268742e-06,69196.484,151.72853,6.021475e-07,-1.0996708,369.34616,0.6656464,247.7355
1970,1,3.1274485e-06,69196.484,151.72906,6.029144e-07,-1.0704725,369.34534,0.71491736,247.73616
1970,1,3.1274485e-06,69196.484,151.72906,6.029144e-07,-1.0704725,369.34534,0.71491736,247.73616
1970,1,3.127727e-06,69196.484,151.72939,6.0442e-07,-1.0397316,369.3452,0.7644102,247.73721
1970,1,3.127727e-06,69196.484,151.72939,6.0442e-07,-1.0397316,369.3452,0.7644102,247.73721
1970,1,3.1280888e-06,69196.484,151.72974,6.042677e-07,-1.0051819,369.3443,0.80888134,247.73735
1970,1,3.1280888e-06,69196.484,151.72974,6.042677e-07,-1.0051819,369.3443,0.80888134,247.73735
1970,1,3.1283755e-06,69196.484,151.73003,6.0575053e-07,-0.9701637,369.34406,0.85549784,247.73834
1970,1,3.1283755e-06,69196.484,151.73003,6.0575053e-07,-0.9701637,369.34406,0.85549784,247.73834
1970,1,3.1286538e-06,69196.484,151.73026,6.05979e-07,-0.9317684,369.34326,0.8974014,247.73843
1970,1,3.1286538e-06,69196.484,151.73026,6.05979e-07,-0.9317684,369.34326,0.8974014,247.73843
1970,1,3.1288537e-06,69196.484,151.73027,6.062401e-07,-0.8916208,369.3429,0.9376708,247.7385
1970,1,3.1288537e-06,69196.484,151.73027,6.062401e-07,-0.8916208,369.3429,0.9376708,247.7385
1970,1,3.128942e-06,69196.484,151.73033,6.0635773e-07,-0.8497853,369.3422,0.975632,247.73842
1970,1,3.128942e-06,69196.484,151.73033,6.0635773e-07,-0.8497853,369.3422,0.975632,247.73842
1970,1,3.128662e-06,69196.484,151.7297,6.039112e-07,-0.80478364,369.34174,1.0052077,247.73653
1970,1,3.128662e-06,69196.484,151.7297,6.039112e-07,-0.80478364,369.34174,1.0052077,247.73653
1970,1,3.1287427e-06,69196.484,151.73003,6.041114e-07,-0.7602617,369.3403,1.0397731,247.73654
1970,1,3.1287427e-06,69196.484,151.73003,6.041114e-07,-0.7602617,369.3403,1.0397731,247.73654
1970,1,3.1309369e-06,69196.484,151.73198,6.1337255e-07,-0.71756893,369.3398,1.0969512,247.74297
1970,1,3.1309369e-06,69196.484,151.73198,6.1337255e-07,-0.71756893,369.3398,1.0969512,247.74297
1970,1,3.131079e-06,69196.484,151.73239,6.1348453e-07,-0.66913724,369.33795,1.1275463,247.74294
1970,1,3.131079e-06,69196.484,151.73239,6.1348453e-07,-0.66913724,369.33795,1.1275463,247.74294
1970,1,3.1312234e-06,69196.484,151.73233,6.136102e-07,-0.61943245,369.33737,1.1560229,247.74287
1970,1,3.1312234e-06,69196.484,151.73233,6.136102e-07,-0.61943245,369.33737,1.1560229,247.74287
1970,1,3.131078e-06,69196.484,151.73282,6.1372566e-07,-0.5684476,369.33514,1.182274,247.74283
1970,1,3.131078e-06,69196.484,151.73282,6.1372566e-07,-0.5684476,369.33514,1.182274,247.74283
1970,1,3.1288625e-06,69196.484,151.73051,6.0365124e-07,-0.5180257,369.33444,1.178242,247.73549
1970,1,3.1288625e-06,69196.484,151.73051,6.0365124e-07,-0.5180257,369.33444,1.178242,247.73549
1970,1,3.126355e-06,69196.484,151.73087,6.0363163e-07,-0.46684894,369.3323,1.1997311,247.73529
1970,1,3.126355e-06,69196.484,151.73087,6.0363163e-07,-0.46684894,369.3323,1.1997311,247.73529
1970,1,3.1253824e-06,69196.484,151.7294,5.974265e-07,-0.41723606,369.33145,1.2026038,247.7306
1970,1,3.1253824e-06,69196.484,151.7294,5.974265e-07,-0.41723606,369.33145,1.2026038,247.7306
1970,1,3.1253876e-06,69196.484,151.72968,5.973714e-07,-0.3647077,369.32956,1.2196047,247.73047
1970,1,3.1253876e-06,69196.484,151.72968,5.973714e-07,-0.3647077,369.32956,1.2196047,247.73047
1970,1,3.1253908e-06,69196.484,151.72957,5.9722083e-07,-0.31177053,369.32855,1.2342199,247.73027
1970,1,3.1253908e-06,69196.484,151.72957,5.9722083e-07,-0.31177053,369.32855,1.2342199,247.73027
1970,1,3.1253714e-06,69196.484,151.72972,5.971533e-07,-0.2578309,369.3268,1.2467175,247.73009
1970,1,3.1253714e-06,69196.484,151.72972,5.971533e-07,-0.2578309,369.3268,1.2467175,247.73009
1970,1,3.1251136e-06,69196.484,151.72919,5.949097e-07,-0.20555495,369.32562,1.2515309,247.72841
1970,1,3.1251136e-06,69196.484,151.72919,5.949097e-07,-0.20555495,369.32562,1.2515309,247.72841
1970,1,3.125126e-06,69196.484,151.72923,5.947372e-07,-0.15110096,369.3241,1.2590265,247.72823
1970,1,3.125126e-06,69196.484,151.72923,5.947372e-07,-0.15110096,369.3241,1.2590265,247.72823
1970,1,3.1240063e-06,69196.484,151.72787,5.8885354e-07,-0.10284939,369.3228,1.2502445,247.7238
1970,1,3.1240063e-06,69196.484,151.72787,5.8885354e-07,-0.10284939,369.3228,1.2502445,247.7238
1970,1,3.1239695e-06,69196.484,151.72789,5.886339e-07,-0.04857299,369.32126,1.2531191,247.72363
1970,1,3.1239695e-06,69196.484,151.72789,5.886339e-07,-0.04857299,369.32126,1.2531191,247.72363
1970,1,3.1236411e-06,69196.484,151.72783,5.8841e-07,0.005656378,369.31985,1.2536622,247.72342
1970,1,3.1236411e-06,69196.484,151.72783,5.8841e-07,0.005656378,369.31985,1.2536622,247.72342
1970,1,3.124079e-06,69196.484,151.72789,5.8823304e-07,0.060500868,369.31818,1.2518526,247.7233
1970,1,3.124079e-06,69196.484,151.72789,5.8823304e-07,0.060500868,369.31818,1.2518526,247.7233
1970,1,3.1239276e-06,69196.484,151.72755,5.8678705e-07,0.11309445,369.31665,1.2446183,247.7222
1970,1,3.1239276e-06,69196.484,151.72755,5.8678705e-07,0.11309445,369.31665,1.2446183,247.7222
1970,1,3.1239185e-06,69196.484,151.72768,5.8666757e-07,0.16739006,369.31485,1.2379787,247.72212
1970,1,3.1239185e-06,69196.484,151.72768,5.8666757e-07,0.16739006,369.31485,1.2379787,247.72212
1970,1,3.1200263e-06,69196.484,151.72568,5.776929e-07,0.20676222,369.31326,1.2104537,247.71535
1970,1,3.1200263e-06,69196.484,151.72568,5.776929e-07,0.20676222,369.31326,1.2104537,247.71535
1970,1,3.1200261e-06,69196.484,151.72578,5.77648e-07,0.25974423,369.31143,1.1997132,247.71532
1970,1,3.1200261e-06,69196.484,151.72578,5.77648e-07,0.25974423,369.31143,1.1997132,247.71532
1970,1,3.119717e-06,69196.484,151.72574,5.776144e-07,0.3119643,369.30975,1.1868547,247.71523
1970,1,3.119717e-06,69196.484,151.72574,5.776144e-07,0.3119643,369.30975,1.1868547,247.71523
1970,1,3.1196846e-06,69196.484,151.72577,5.776769e-07,0.36396116,369.308,1.1716381,247.71523
1970,1,3.1196846e-06,69196.484,151.72577,5.776769e-07,0.36396116,369.308,1.1716381,247.71523
1970,1,3.1195925e-06,69196.484,151.72583,5.7807347e-07,0.41601777,369.30634,1.1545563,247.71536
1970,1,3.1195925e-06,69196.484,151.72583,5.7807347e-07,0.41601777,369.30634,1.1545563,247.71536
1970,1,3.1196546e-06,69196.484,151.72575,5.7823735e-07,0.46667254,369.30478,1.1349292,247.71541
1970,1,3.1196546e-06,69196.484,151.72575,5.7823735e-07,0.46667254,369.30478,1.1349292,247.71541
1970,1,3.1226996e-06,69196.484,151.72812,5.882652e-07,0.5369683,369.303,1.1296837,247.72308
1970,1,3.1226996e-06,69196.484,151.72812,5.882652e-07,0.5369683,369.303,1.1296837,247.72308
1970,1,3.1225375e-06,69196.484,151.72804,5.8846456e-07,0.58609366,369.30124,1.1050711,247.72308
1970,1,3.1225375e-06,69196.484,151.72804,5.8846456e-07,0.58609366,369.30124,1.1050711,247.72308
1970,1,3.1227328e-06,69196.484,151.72809,5.887412e-07,0.6343585,369.29935,1.0782328,247.72314
1970,1,3.1227328e-06,69196.484,151.72809,5.887412e-07,0.6343585,369.29935,1.0782328,247.72314
1970,1,3.125079e-06,69196.484,151.7281,5.8886945e-07,0.6813482,369.29742,1.0493549,247.7232
1970,1,3.125079e-06,69196.484,151.7281,5.8886945e-07,0.6813482,369.29742,1.0493549,247.7232
1970,1,3.1244324e-06,69196.484,151.7281,5.891737e-07,0.7271209,369.29553,1.0185491,247.72327
1970,1,3.1244324e-06,69196.484,151.7281,5.891737e-07,0.7271209,369.29553,1.0185491,247.72327
1970,1,3.1248421e-06,69196.484,151.72813,5.8949536e-07,0.7713102,369.2936,0.98567253,247.72333
1970,1,3.1248421e-06,69196.484,151.72813,5.8949536e-07,0.7713102,369.2936,0.98567253,247.72333
1970,1,3.1234472e-06,69196.484,151.72658,5.8315476e-07,0.79799783,369.29175,0.9441821,247.71823
1970,1,3.1234472e-06,69196.484,151.72658,5.8315476e-07,0.79799783,369.29175,0.9441821,247.71823
1970,1,3.1237105e-06,69196.484,151.72662,5.836494e-07,0.83940905,369.28986,0.90874684,247.71829
