,Year,Plot Num,Treatment Num,Stover Harvest,BioChar History,Tillage,Depth,Replicate,Bulk Density ,TotalC.perc,TotalN.perc,InorganicC.perc,OrgC.perc,pH
0,2012,115W,1,,No,Chisel,30 to 60,1,1.440557581278595,0.96,0.09,,,6.4
1,2012,110W,3,Moderate,No,Chisel,30 to 60,1,1.4946313024107518,1.24,0.07,,,6.9
2,2012,116W,4,Moderate,No,No-till,30 to 60,1,1.4160344660310866,1.21,0.11,,,6.7
3,2012,119W,5,High,No,Chisel,30 to 60,1,1.4782081830523164,1.23,0.11,,,6.2
4,2012,120W,6,High,No,No-till,30 to 60,1,1.3882284126104856,1.2,0.11,,,6.0
5,2012,103W,13,,Yes ,Chisel,30 to 60,1,1.4246664747740378,1.32,0.1,,1.32,7.5
6,2012,117W,14,,Yes ,Chisel,30 to 60,1,1.5398965592068599,0.88,0.08,,,6.5
7,2012,107W,15,Moderate,Yes ,Chisel,30 to 60,1,1.4926124421005578,1.01,0.08,,1.01,7.1
8,2012,104W,16,Moderate,Yes ,Chisel,30 to 60,1,1.479779862193309,1.21,0.07,,1.21,7.2
9,2012,109W,17,High,Yes ,Chisel,30 to 60,1,1.477723073732812,1.21,0.07,,1.21,7.0
10,2012,101W,18,High,Yes ,Chisel,30 to 60,1,1.5327633072486582,0.8,0.04,,0.8,7.8
11,2012,208W,1,Moderate,No,Chisel,30 to 60,2,1.3960186705007847,1.09,0.11,,1.09,6.3
12,2012,213W,3,Moderate,No,No-till,30 to 60,2,1.5216993420518519,0.86,0.08,,0.86,6.6
13,2012,206W,4,High,No,Chisel,30 to 60,2,1.449676725026402,1.0,0.1,,1.0,6.2
14,2012,207W,5,High,No,No-till,30 to 60,2,1.4157308705370475,1.28,0.13,,1.28,6.0
15,2012,201W,6,,Yes ,Chisel,30 to 60,2,1.499165671997299,1.3,0.11,,1.3,6.9
16,2012,202W,13,High,Yes ,Chisel,30 to 60,2,1.4043374124522103,1.22,0.11,,1.22,6.9
17,2012,202W,13,,Yes ,Chisel,30 to 60,2,1.4043374124522103,1.22,0.11,,1.22,6.9
18,2012,216W,14,Moderate,Yes ,Chisel,30 to 60,2,1.4501960028550773,1.95,0.14,,1.95,6.7
19,2012,211W,15,Moderate,Yes ,Chisel,30 to 60,2,1.4824729846533415,0.74,0.09,,0.74,6.6
20,2012,204W,16,High,Yes ,Chisel,30 to 60,2,1.5391435593878744,0.97,0.11,,0.97,6.7
21,2012,205W,18,High,Yes ,Chisel,30 to 60,2,1.3224231024342303,1.67,0.16,,1.67,5.9
22,2012,322W,1,,No,Chisel,30 to 60,3,1.5634982107032782,0.81,0.06,,,6.7
23,2012,305W,3,Moderate,No,Chisel,30 to 60,3,1.5625864773846763,1.01,0.07,,,7.4
24,2012,304W,4,Moderate,No,No-till,30 to 60,3,1.5181002054148038,1.06,0.09,,,7.3
25,2012,307W,5,High,No,Chisel,30 to 60,3,1.497151707837602,0.89,0.07,,,7.2
26,2012,321W,6,High,No,No-till,30 to 60,3,1.5228411563385826,0.81,0.07,,,7.0
27,2012,320W,13,,Yes ,Chisel,30 to 60,3,1.5215000909924299,0.74,0.06,,,7.2
28,2012,315W,14,,Yes ,Chisel,30 to 60,3,1.462353655851691,1.1,0.11,,,6.1
29,2012,301W,15,Moderate,Yes ,Chisel,30 to 60,3,1.4836357322524136,1.13,0.09,,,6.8
30,2012,319W,16,Moderate,Yes ,Chisel,30 to 60,3,1.5009752450353093,0.87,0.09,,,6.7
31,2012,311W,17,High,Yes ,Chisel,30 to 60,3,1.5284817821138548,1.15,0.1,,,6.4
32,2012,312W,18,High,Yes ,Chisel,30 to 60,3,1.4308835015456605,0.93,0.1,,,6.5
33,2012,420W,1,,No,Chisel,30 to 60,4,1.5557787692706835,0.71,0.08,,,7.0
34,2012,405W,3,Moderate,No,Chisel,30 to 60,4,1.5318471461532688,1.29,0.1,,,6.7
35,2012,414W,4,Moderate,No,No-till,30 to 60,4,1.4474731693905074,1.13,0.09,,,7.4
36,2012,402W,5,High,No,Chisel,30 to 60,4,1.5133659225155753,1.02,0.09,,,6.7
37,2012,411W,6,High,No,No-till,30 to 60,4,1.5791758534648053,1.04,0.09,,,6.7
38,2012,419W,13,,Yes ,Chisel,30 to 60,4,1.5686014869432274,0.69,0.07,,,7.6
39,2012,413W,14,,Yes ,Chisel,30 to 60,4,1.334092610513953,1.19,0.09,,,6.3
40,2012,418W,15,Moderate,Yes ,Chisel,30 to 60,4,1.6219915733400028,0.5,0.06,,,7.6
41,2012,403W,16,Moderate,Yes ,Chisel,30 to 60,4,1.4745326967085313,1.02,0.09,,,7.0
42,2012,407W,17,High,Yes ,Chisel,30 to 60,4,1.6169853274341826,0.92,0.09,,,6.8
43,2012,406W,18,High,Yes ,Chisel,30 to 60,4,1.5001443335734195,1.44,0.1,,,6.6
