,Year,Plot Num,Treatment Num,Stover Harvest,BioChar History,Tillage,Depth,Replicate,Collect Date,TotalC.perc,TotalN.perc,InorganicC.perc,OrgC.perc,OrganicMatter.perc,pH
0,2017,102,21,Moderate,No,No-Till,15 to 30,1,2018-07-09 00:00:00,1.44,0.14,0.05,1.39,2.3,7.6
1,2017,105,9,High,No,No-Till,15 to 30,1,2018-07-09 00:00:00,2.59,0.2,,,3.7,6.7
2,2017,106,2,High,No,No-Till,15 to 30,1,2018-07-09 00:00:00,1.99,0.17,,,3.0,6.2
3,2017,108,10,Moderate,No,No-Till,15 to 30,1,2018-07-09 00:00:00,1.67,0.15,,,2.6,6.5
4,2017,111,22,High,No,No-Till,15 to 30,1,2018-07-09 00:00:00,2.46,0.18,,,3.8,5.9
5,2017,112,19,Moderate,No,No-Till,15 to 30,1,2018-07-09 00:00:00,2.04,0.17,,,2.6,5.6
6,2017,113,20,High,No,No-Till,15 to 30,1,2018-07-09 00:00:00,1.75,0.15,,,2.5,5.9
7,2017,114,7,High,No,No-Till,15 to 30,1,2018-07-09 00:00:00,1.68,0.14,,,2.5,5.6
8,2017,118,11,High,No,No-Till,15 to 30,1,2018-07-09 00:00:00,1.91,0.18,,,2.9,6.3
9,2017,121,12,High,No,No-Till,15 to 30,1,2018-07-09 00:00:00,1.63,0.13,,,2.3,6.1
10,2017,122,8,High,No,No-Till,15 to 30,1,2018-07-09 00:00:00,1.34,0.12,,,2.3,6.1
11,2017,203,19,Moderate,No,No-Till,15 to 30,2,2018-07-09 00:00:00,2.0,0.16,,,2.7,6.1
12,2017,209,7,High,No,No-Till,15 to 30,2,2018-07-09 00:00:00,1.34,0.14,,,1.9,6.3
13,2017,212,12,High,No,No-Till,15 to 30,2,2018-07-09 00:00:00,2.24,0.18,,,2.9,6.5
14,2017,214,20,High,No,No-Till,15 to 30,2,2018-07-09 00:00:00,2.47,0.2,,,3.4,6.4
15,2017,215,21,Moderate,No,No-Till,15 to 30,2,2018-07-09 00:00:00,3.28,0.24,,,5.0,6.0
16,2017,217,9,High,No,No-Till,15 to 30,2,2018-07-09 00:00:00,3.29,0.24,,,4.8,6.0
17,2017,218,8,High,No,No-Till,15 to 30,2,2018-07-09 00:00:00,2.42,0.2,,,3.4,6.6
18,2017,219,2,High,No,No-Till,15 to 30,2,2018-07-09 00:00:00,2.11,0.2,,,2.7,6.8
19,2017,220,11,High,No,No-Till,15 to 30,2,2018-07-09 00:00:00,2.1,0.17,,,3.1,6.8
20,2017,221,10,Moderate,No,No-Till,15 to 30,2,2018-07-09 00:00:00,2.66,0.19,,,4.1,6.4
21,2017,222,22,High,No,No-Till,15 to 30,2,2018-07-09 00:00:00,2.22,0.17,,,3.2,6.5
22,2017,302,19,Moderate,No,No-Till,15 to 30,3,2018-07-09 00:00:00,2.21,0.19,,,2.9,6.1
23,2017,303,22,High,No,No-Till,15 to 30,3,2018-07-09 00:00:00,2.16,0.19,,,2.9,6.3
24,2017,306,21,Moderate,No,No-Till,15 to 30,3,2018-07-09 00:00:00,3.25,0.21,,,4.1,6.6
25,2017,308,20,High,No,No-Till,15 to 30,3,2018-07-09 00:00:00,1.64,0.15,,,2.7,6.5
26,2017,309,9,High,No,No-Till,15 to 30,3,2018-07-09 00:00:00,1.7,0.18,,,2.7,5.8
27,2017,310,8,High,No,No-Till,15 to 30,3,2018-07-09 00:00:00,2.04,0.18,,,2.6,6.3
28,2017,313,11,High,No,No-Till,15 to 30,3,2018-07-09 00:00:00,1.74,0.16,,,2.8,5.4
29,2017,314,12,High,No,No-Till,15 to 30,3,2018-07-09 00:00:00,1.6,0.15,,,2.2,5.9
30,2017,316,7,High,No,No-Till,15 to 30,3,2018-07-09 00:00:00,2.14,0.18,,,3.0,5.2
31,2017,317,10,Moderate,No,No-Till,15 to 30,3,2018-07-09 00:00:00,2.05,0.17,,,3.2,6.0
32,2017,318,2,High,No,No-Till,15 to 30,3,2018-07-09 00:00:00,1.91,0.15,,,3.0,6.2
33,2017,401,9,High,No,No-Till,15 to 30,4,2018-07-09 00:00:00,1.22,0.12,,,2.2,6.2
34,2017,404,11,High,No,No-Till,15 to 30,4,2018-07-09 00:00:00,2.72,0.21,,,3.7,6.1
35,2017,408,7,High,No,No-Till,15 to 30,4,2018-07-09 00:00:00,1.33,0.12,,,2.2,6.2
36,2017,409,19,Moderate,No,No-Till,15 to 30,4,2018-07-09 00:00:00,1.1,0.12,,,2.0,6.2
37,2017,410,10,Moderate,No,No-Till,15 to 30,4,2018-07-09 00:00:00,1.3,0.12,,,2.2,6.2
38,2017,412,21,Moderate,No,No-Till,15 to 30,4,2018-07-09 00:00:00,1.84,0.17,,,2.7,5.8
39,2017,415,8,High,No,No-Till,15 to 30,4,2018-07-09 00:00:00,2.6,0.21,,,3.5,5.5
40,2017,416,20,High,No,No-Till,15 to 30,4,2018-07-09 00:00:00,1.97,0.16,,,2.7,5.9
41,2017,417,22,High,No,No-Till,15 to 30,4,2018-07-09 00:00:00,1.92,0.16,,,2.7,7.1
42,2017,421,12,High,No,No-Till,15 to 30,4,2018-07-09 00:00:00,2.89,0.22,,,4.4,6.7
43,2017,422,2,High,No,No-Till,15 to 30,4,2018-07-09 00:00:00,3.25,0.26,,,4.9,6.6
