,Year,Plot Num,Treatment Num,Stover Harvest,BioChar History,Tillage,Depth,Replicate,Collect Date,TotalC.perc,TotalN.perc,InorganicC.perc,OrgC.perc,OrganicMatter.perc,pH
0,2017,102,21,Moderate,No,No-Till,90 to 120,1,2018-07-09 00:00:00,0.24,0.07,0.08,0.16,0.8,7.9
1,2017,105,9,High,No,No-Till,90 to 120,1,2018-07-09 00:00:00,1.31,0.03,1.14,0.17,0.8,8.1
2,2017,106,2,High,No,No-Till,90 to 120,1,2018-07-09 00:00:00,2.38,0.05,1.89,0.49,0.7,8.2
3,2017,108,10,Moderate,No,No-Till,90 to 120,1,2018-07-09 00:00:00,2.17,0.04,2.11,0.06,0.7,8.2
4,2017,111,22,High,No,No-Till,90 to 120,1,2018-07-09 00:00:00,2.46,0.03,2.2,0.26,0.7,8.3
5,2017,112,19,Moderate,No,No-Till,90 to 120,1,2018-07-09 00:00:00,2.26,0.03,1.86,0.4,0.5,8.3
6,2017,113,20,High,No,No-Till,90 to 120,1,2018-07-09 00:00:00,0.57,0.05,0.42,0.15,0.8,8.0
7,2017,114,7,High,No,No-Till,90 to 120,1,2018-07-09 00:00:00,0.26,0.05,,,1.1,7.4
8,2017,118,11,High,No,No-Till,90 to 120,1,2018-07-09 00:00:00,1.6,0.03,1.67,-0.07,0.7,8.2
9,2017,121,12,High,No,No-Till,90 to 120,1,2018-07-09 00:00:00,1.43,0.05,1.16,0.27,0.6,8.2
10,2017,122,8,High,No,No-Till,90 to 120,1,2018-07-09 00:00:00,0.97,0.04,0.9,0.07,0.8,7.9
11,2017,203,19,Moderate,No,No-Till,90 to 120,2,2018-07-09 00:00:00,2.77,0.04,2.43,0.34,0.5,8.3
12,2017,209,7,High,No,No-Till,90 to 120,2,2018-07-09 00:00:00,0.42,0.05,0.23,0.19,0.8,7.6
13,2017,212,12,High,No,No-Till,90 to 120,2,2018-07-09 00:00:00,2.15,0.04,2.12,0.03,2.1,6.3
14,2017,214,20,High,No,No-Till,90 to 120,2,2018-07-09 00:00:00,2.05,0.04,2.08,-0.03,0.6,8.3
15,2017,215,21,Moderate,No,No-Till,90 to 120,2,2018-07-09 00:00:00,2.1,0.04,2.28,-0.18,0.5,8.3
16,2017,217,9,High,No,No-Till,90 to 120,2,2018-07-09 00:00:00,1.34,0.05,1.33,0.01,0.6,8.3
17,2017,218,8,High,No,No-Till,90 to 120,2,2018-07-09 00:00:00,2.49,0.05,2.54,-0.05,0.5,8.3
18,2017,219,2,High,No,No-Till,90 to 120,2,2018-07-09 00:00:00,2.25,0.07,2.18,0.07,0.6,8.3
19,2017,220,11,High,No,No-Till,90 to 120,2,2018-07-09 00:00:00,2.21,0.04,2.08,0.13,0.6,8.3
20,2017,221,10,Moderate,No,No-Till,90 to 120,2,2018-07-09 00:00:00,1.74,0.03,1.85,-0.11,0.6,8.3
21,2017,222,22,High,No,No-Till,90 to 120,2,2018-07-09 00:00:00,0.27,0.05,0.07,0.2,0.6,7.7
22,2017,302,19,Moderate,No,No-Till,90 to 120,3,2018-07-09 00:00:00,1.2,0.04,1.28,-0.08,0.6,8.2
23,2017,303,22,High,No,No-Till,90 to 120,3,2018-07-09 00:00:00,1.3,0.05,1.18,0.12,0.7,8.1
24,2017,306,21,Moderate,No,No-Till,90 to 120,3,2018-07-09 00:00:00,0.44,0.09,,,1.3,7.0
25,2017,308,20,High,No,No-Till,90 to 120,3,2018-07-09 00:00:00,1.96,0.03,2.01,-0.05,0.5,8.2
26,2017,309,9,High,No,No-Till,90 to 120,3,2018-07-09 00:00:00,2.1,0.04,2.29,-0.19,0.5,8.3
27,2017,310,8,High,No,No-Till,90 to 120,3,2018-07-09 00:00:00,2.21,0.03,2.17,0.04,0.6,8.2
28,2017,313,11,High,No,No-Till,90 to 120,3,2018-07-09 00:00:00,1.93,0.04,1.95,-0.02,0.6,8.2
29,2017,314,12,High,No,No-Till,90 to 120,3,2018-07-09 00:00:00,2.12,0.04,2.23,-0.11,0.6,8.3
