,Year,Plot Num,Treatment Num,Stover Harvest,BioChar History,Tillage,Depth,Replicate,Collect Date,TotalC.perc,TotalN.perc,InorganicC.perc,OrgC.perc,OrganicMatter.perc,pH
0,2017,102,21,Moderate,No,No-Till,15 to 30,1,2018-07-09 00:00:00,2.97,0.23,,,4.0,6.5
1,2017,102,21,Moderate,No,No-Till,60 to 90,1,2018-07-09 00:00:00,0.41,0.07,0.03,0.38,1.3,7.2
2,2017,102,21,Moderate,No,No-Till,0 to 15,1,2018-07-09 00:00:00,2.34,0.2,,,3.3,7.4
3,2017,102,21,Moderate,No,No-Till,30 to 60,1,2018-07-09 00:00:00,1.52,0.06,< 0.03,1.52,1.4,7.5
4,2017,102,21,Moderate,No,No-Till,90 to 120,1,2018-07-09 00:00:00,2.07,0.06,1.8,0.27,0.6,8.2
5,2017,105,9,High,No,No-Till,15 to 30,1,2018-07-09 00:00:00,1.03,0.1,,,3.1,6.4
6,2017,105,9,High,No,No-Till,60 to 90,1,2018-07-09 00:00:00,0.52,0.06,0.13,0.39,1.7,7.5
7,2017,105,9,High,No,No-Till,0 to 15,1,2018-07-09 00:00:00,2.88,0.22,,,3.6,7.3
8,2017,105,9,High,No,No-Till,30 to 60,1,2018-07-09 00:00:00,1.05,0.1,,,2.1,6.9
9,2017,105,9,High,No,No-Till,90 to 120,1,2018-07-09 00:00:00,0.2,0.05,0.07,0.13,0.8,7.9
10,2017,106,2,High,No,No-Till,15 to 30,1,2018-07-09 00:00:00,1.8,0.16,,,2.2,6.2
11,2017,106,2,High,No,No-Till,60 to 90,1,2018-07-09 00:00:00,1.87,0.07,1.4,0.47,0.9,8.1
12,2017,106,2,High,No,No-Till,0 to 15,1,2018-07-09 00:00:00,3.22,0.25,,,3.7,6.8
13,2017,106,2,High,No,No-Till,30 to 60,1,2018-07-09 00:00:00,0.75,0.09,,,1.7,6.7
14,2017,106,2,High,No,No-Till,90 to 120,1,2018-07-09 00:00:00,1.96,0.04,1.68,0.28,0.6,8.2
15,2017,108,10,Moderate,No,No-Till,15 to 30,1,2018-07-09 00:00:00,1.92,0.17,,,2.7,5.7
16,2017,108,10,Moderate,No,No-Till,60 to 90,1,2018-07-09 00:00:00,1.05,0.05,0.84,0.21,0.9,7.9
17,2017,108,10,Moderate,No,No-Till,0 to 15,1,2018-07-09 00:00:00,2.76,0.22,,,3.5,6.7
18,2017,108,10,Moderate,No,No-Till,30 to 60,1,2018-07-09 00:00:00,0.67,0.07,,,1.5,6.8
19,2017,108,10,Moderate,No,No-Till,90 to 120,1,2018-07-09 00:00:00,0.42,0.04,0.3,0.12,0.6,8.1
20,2017,111,22,High,No,No-Till,15 to 30,1,2018-07-09 00:00:00,2.13,0.16,,,3.3,5.7
21,2017,111,22,High,No,No-Till,60 to 90,1,2018-07-09 00:00:00,0.92,0.06,0.61,0.31,1.1,7.8
22,2017,111,22,High,No,No-Till,0 to 15,1,2018-07-09 00:00:00,2.8,0.22,,,3.7,6.0
23,2017,111,22,High,No,No-Till,30 to 60,1,2018-07-09 00:00:00,1.53,0.12,,,2.8,6.6
24,2017,111,22,High,No,No-Till,90 to 120,1,2018-07-09 00:00:00,2.21,0.06,1.89,0.32,0.8,8.1
25,2017,112,19,Moderate,No,No-Till,15 to 30,1,2018-07-09 00:00:00,1.79,0.16,,,2.2,6.1
26,2017,112,19,Moderate,No,No-Till,60 to 90,1,2018-07-09 00:00:00,1.15,0.05,0.87,0.28,0.7,8.2
27,2017,112,19,Moderate,No,No-Till,0 to 15,1,2018-07-09 00:00:00,2.53,0.2,,,2.9,6.4
28,2017,112,19,Moderate,No,No-Till,30 to 60,1,2018-07-09 00:00:00,0.79,0.09,,,1.4,6.5
29,2017,112,19,Moderate,No,No-Till,90 to 120,1,2018-07-09 00:00:00,2.51,< 0.01,2.09,0.42,0.5,8.4
30,2017,113,20,High,No,No-Till,15 to 30,1,2018-07-09 00:00:00,2.0,0.15,,,2.8,6.8
31,2017,113,20,High,No,No-Till,60 to 90,1,2018-07-09 00:00:00,0.32,0.06,< 0.03,0.31,1.1,7.2
32,2017,113,20,High,No,No-Till,0 to 15,1,2018-07-09 00:00:00,2.6,0.23,,,3.2,6.7
33,2017,113,20,High,No,No-Till,30 to 60,1,2018-07-09 00:00:00,0.9,0.09,,,1.8,6.6
34,2017,113,20,High,No,No-Till,90 to 120,1,2018-07-09 00:00:00,2.69,0.04,2.39,0.3,0.7,8.2
35,2017,114,7,High,No,No-Till,15 to 30,1,2018-07-09 00:00:00,2.5,0.19,,,3.8,5.8
36,2017,114,7,High,No,No-Till,60 to 90,1,2018-07-09 00:00:00,0.64,0.07,,,1.9,6.9
37,2017,114,7,High,No,No-Till,0 to 15,1,2018-07-09 00:00:00,1.9,0.2,,,2.6,6.2
38,2017,114,7,High,No,No-Till,30 to 60,1,2018-07-09 00:00:00,0.93,0.1,,,1.7,6.1
39,2017,114,7,High,No,No-Till,90 to 120,1,2018-07-09 00:00:00,2.25,0.05,1.96,0.29,0.7,8.2
40,2017,118,11,High,No,No-Till,15 to 30,1,2018-07-09 00:00:00,1.99,0.18,,,3.2,6.0
41,2017,118,11,High,No,No-Till,60 to 90,1,2018-07-09 00:00:00,0.55,0.06,0.11,0.44,1.2,7.4
42,2017,118,11,High,No,No-Till,0 to 15,1,2018-07-09 00:00:00,1.78,0.17,,,2.5,7.1
43,2017,118,11,High,No,No-Till,30 to 60,1,2018-07-09 00:00:00,1.27,0.11,,,2.2,6.9
44,2017,118,11,High,No,No-Till,90 to 120,1,2018-07-09 00:00:00,0.91,0.05,0.73,0.18,0.7,8.0
45,2017,121,12,High,No,No-Till,15 to 30,1,2018-07-09 00:00:00,2.25,0.19,,,3.0,5.9
46,2017,121,12,High,No,No-Till,60 to 90,1,2018-07-09 00:00:00,0.62,0.07,,,1.3,6.8
47,2017,121,12,High,No,No-Till,0 to 15,1,2018-07-09 00:00:00,2.13,0.2,,,2.3,6.5
48,2017,121,12,High,No,No-Till,30 to 60,1,2018-07-09 00:00:00,0.88,0.1,,,1.4,6.7
49,2017,121,12,High,No,No-Till,90 to 120,1,2018-07-09 00:00:00,2.05,0.04,1.98,0.07,0.5,8.3
50,2017,122,8,High,No,No-Till,15 to 30,1,2018-07-09 00:00:00,1.91,0.17,,,2.9,5.7
51,2017,122,8,High,No,No-Till,60 to 90,1,2018-07-09 00:00:00,0.41,0.06,,,1.3,6.6
52,2017,122,8,High,No,No-Till,0 to 15,1,2018-07-09 00:00:00,1.97,0.17,,,2.9,6.9
53,2017,122,8,High,No,No-Till,30 to 60,1,2018-07-09 00:00:00,0.71,0.08,,,1.5,6.3
54,2017,122,8,High,No,No-Till,90 to 120,1,2018-07-09 00:00:00,0.53,0.08,0.1,0.43,1.1,7.1
55,2017,203,19,Moderate,No,No-Till,15 to 30,2,2018-07-09 00:00:00,1.16,0.11,,,1.8,6.5
56,2017,203,19,Moderate,No,No-Till,60 to 90,2,2018-07-09 00:00:00,1.95,0.04,2.02,-0.07,0.6,8.3
57,2017,203,19,Moderate,No,No-Till,0 to 15,2,2018-07-09 00:00:00,1.97,0.16,,,2.6,6.5
58,2017,203,19,Moderate,No,No-Till,30 to 60,2,2018-07-09 00:00:00,1.23,0.1,,,1.9,6.4
59,2017,203,19,Moderate,No,No-Till,90 to 120,2,2018-07-09 00:00:00,2.08,0.03,1.86,0.22,0.6,8.3
60,2017,209,7,High,No,No-Till,15 to 30,2,2018-07-09 00:00:00,2.39,0.19,,,3.2,5.9
61,2017,209,7,High,No,No-Till,60 to 90,2,2018-07-09 00:00:00,0.41,0.06,,,1.2,6.6
62,2017,209,7,High,No,No-Till,0 to 15,2,2018-07-09 00:00:00,2.09,0.2,,,2.6,6.7
63,2017,209,7,High,No,No-Till,30 to 60,2,2018-07-09 00:00:00,0.54,0.07,,,1.2,6.7
64,2017,209,7,High,No,No-Till,90 to 120,2,2018-07-09 00:00:00,2.12,0.04,2.21,-0.09,0.5,8.3
65,2017,212,12,High,No,No-Till,15 to 30,2,2018-07-09 00:00:00,1.25,0.11,,,0.7,8.1
66,2017,212,12,High,No,No-Till,60 to 90,2,2018-07-09 00:00:00,1.76,0.06,1.51,0.25,2.3,6.0
67,2017,212,12,High,No,No-Till,0 to 15,2,2018-07-09 00:00:00,2.6,0.22,,,3.2,6.1
68,2017,212,12,High,No,No-Till,30 to 60,2,2018-07-09 00:00:00,0.94,0.09,,,1.5,7.5
69,2017,212,12,High,No,No-Till,90 to 120,2,2018-07-09 00:00:00,2.31,0.04,2.3,0.01,0.6,8.3
70,2017,214,20,High,No,No-Till,15 to 30,2,2018-07-09 00:00:00,1.66,0.16,,,2.2,7.1
71,2017,214,20,High,No,No-Till,60 to 90,2,2018-07-09 00:00:00,1.81,0.05,1.67,0.14,0.8,8.2
72,2017,214,20,High,No,No-Till,0 to 15,2,2018-07-09 00:00:00,3.23,0.26,,,3.9,6.6
73,2017,214,20,High,No,No-Till,30 to 60,2,2018-07-09 00:00:00,0.94,0.09,,,1.7,6.8
