country,name,longitude,latitude,created_at,is_downloading_past_climate_data
Algeria,Setif,5.33,36.13,2024-08-20T10:57:35.580229,False
Argentina,"Buenos Aires province, Balcarce",-58.3,-37.75,2024-08-20T10:57:35.583100,False
Argentina,"Buenos Aires province, Drabble",-62.0,-35.0,2024-08-20T10:57:35.584697,False
Argentina,"Buenos Aires province, Partido de Esteban Echeverría",-58.47,-34.84,2024-08-20T10:57:35.586326,False
Argentina,"La Plata, Estacion Experimental J. Hirschhorn",-57.95,-34.92,2024-08-20T10:57:35.587857,False
Argentina,Pampas,-60.35,-35.37,2024-08-20T10:57:35.589494,False
Tanzania,Dodoma,35.73,-5.17,2024-08-20T10:57:35.986339,False
India,New Delhi,77.18,28.63,2024-08-20T10:57:35.832956,False
India,"New Delhi (Indian Agricultural Research Institute, Pusa, New Delhi)",77.15,28.63,2024-08-20T10:57:35.836858,False
India,"Odisha, Cuttack",85.87,20.46,2024-08-20T10:57:35.838464,False
India,"Patna, Bihar",85.22,25.62,2024-08-20T10:57:35.840018,False
Canada,"Ontario, Kirkton",-81.5,43.32,2024-08-20T10:57:35.666252,False
China,"Wuxue City, Hubei Province",115.55,29.85,2024-08-20T10:57:35.770790,False
Italy,Policoro,16.65,40.16,2024-08-20T10:57:35.874959,False
Turkey,"Adana, Cukorova University Ag Experiment Station",35.35,37.0,2024-08-20T10:57:35.987850,False
USA,"Texas, Bushland (Conservation and Production Research Laboratory)",-102.08,35.18,2024-08-20T10:57:36.224069,False
USA,"Texas, Halfway",-101.95,34.18,2024-08-20T10:57:36.225837,False
USA,"Texas, Lubbock (Texas Agricultural Experiment Station)",-101.83,33.69,2024-08-20T10:57:36.227393,False
Mexico,Coahuila,-100.98,25.38,2024-08-20T10:57:35.904242,False
Mexico,El Batán,-98.83,19.52,2024-08-20T10:57:35.908267,False
Brazil,Lages,-50.3,-27.78,2024-08-20T10:57:35.613169,False
Sweden,Uppsala (Ultuna),17.66,59.81,2024-08-20T10:57:35.981420,False
USA,"Indiana, Lafayette, Purdue Univeristy Agronomy Research Center",-86.98,40.47,2024-08-20T10:57:36.057922,False
Italy,Veneto Region low plain,11.88,45.05,2024-08-20T10:57:35.881367,False
Italy,Fruili Venezia Giulia,13.35,46.05,2024-08-20T10:57:35.868465,False
Italy,Piacenza,9.7,45.0,2024-08-20T10:57:35.870094,False
USA,"Wisconsin, Arlington (Arlington Agricultural Research Station)",-89.35,43.3,2024-08-20T10:57:36.237464,False
USA,"Wisconsin, Janesville and Waunakee",-88.77,43.95,2024-08-20T10:57:36.239040,False
USA,"Wooster, Ohio",-83.25,40.42,2024-08-20T10:57:36.241425,False
Zimbabwe,Harare,31.17,-17.62,2024-08-20T10:57:36.243153,False
USA,"Illinois, Dixon Springs Ag Research Center",-88.75,37.47,2024-08-20T10:57:36.052798,False
Italy,Foggia,15.53,41.47,2024-08-20T10:57:35.866723,False
USA,"Texas, Temple (Grassland Soil and Water Research Lab)",-97.33,31.08,2024-08-20T10:57:36.228939,False
USA,"Washington, Ritzville (Wellsandt farm)",-118.31,47.17,2024-08-20T10:57:36.230453,False
USA,"Wisconsin, Arena",-89.92,43.18,2024-08-20T10:57:36.232031,False
Croatia,Osijek,18.69,45.55,2024-08-20T10:57:35.778915,False
USA,"Kentucky, Lexington",-84.5,38.0,2024-08-20T10:57:36.115001,False
USA,"Kentucky, Princeton",-84.25,37.87,2024-08-20T10:57:36.116871,False
USA,"Alaska, Delta Junction (Delta Agricultural Project)",-147.87,64.82,2024-08-20T10:57:36.021186,False
USA,"Florida, Quincy (Univ of FL North Florida Research and Education Center)",-84.55,30.6,2024-08-20T10:57:36.035269,False
Mexico,"Morelos, Tlaltizapan (CIMMYT)",-99.13,18.68,2024-08-20T10:57:35.910157,False
USA,"Kansas, Saline County",-97.65,38.92,2024-08-20T10:57:36.103367,False
UK,Wye,0.93,51.17,2024-08-20T10:57:36.007855,False
India,"Uttarakhand, Pantnagar (Govind Ballabh Pant University of Agriculture and Technology)",79.49,29.02,2024-08-20T10:57:35.857523,False
Germany,Mincheberg,14.12,52.85,2024-08-20T10:57:35.798337,False
Turkey,Kahramanmaras province (Kahramanmaras Sutcu Imam Universitesi),36.93,37.58,2024-08-20T10:57:35.990905,False
UK,"Berkshire, Englefield",-1.12,51.42,2024-08-20T10:57:35.992487,False
UK,Dundee,-3.08,56.46,2024-08-20T10:57:35.993961,False
UK,"Edinburgh (Thornton Mains farm, 10 km SE of Edinburgh)",-3.21,55.94,2024-08-20T10:57:35.999824,False
Poland,Jelcz-Laskowice,17.35,51.03,2024-08-20T10:57:35.935325,False
Poland,Poznan,16.28,52.43,2024-08-20T10:57:35.938006,False
USA,"Iowa, Nashua",-92.5,43.0,2024-08-20T10:57:36.084040,False
China,"Dongping, Shandong Province",116.36,35.89,2024-08-20T10:57:35.713186,False
Canada,Ottwa,-75.72,45.37,2024-08-20T10:57:35.674343,False
New Zealand,"Lincoln, Canterbury",172.45,-42.63,2024-08-20T10:57:35.913619,False
Nigeria,Akure,5.17,7.25,2024-08-20T10:57:35.915147,False
Nigeria,Ibadan,3.92,7.58,2024-08-20T10:57:35.918509,False
Nigeria,Ibadan (International Institute of Tropical Agriculture),3.9,7.5,2024-08-20T10:57:35.920485,False
Nigeria,Kadawa (Irrigation Research Station),8.25,11.13,2024-08-20T10:57:35.922044,False
Nigeria,Onne,7.02,4.72,2024-08-20T10:57:35.923846,False
Norway,"Drobak, Hauer",10.66,59.67,2024-08-20T10:57:35.925435,False
Norway,"Kapp, Apelsvoll Research Centre",10.85,60.7,2024-08-20T10:57:35.926984,False
USA,"Iowa, Grundy",-92.85,42.43,2024-08-20T10:57:36.080697,False
Canada,"Quebec, Ste. Anne de Bellevue",-73.93,45.42,2024-08-20T10:57:35.685060,False
Canada,"Quebec, Ste. Anne de Bellevue (MacDonald Farm)",-73.75,45.47,2024-08-20T10:57:35.686770,False
Canada,"Saskatchewan, Cantuar",-108.0,50.38,2024-08-20T10:57:35.688290,False
Canada,"Saskatchewan, Melfort",-104.6,52.85,2024-08-20T10:57:35.692120,False
Canada,"Saskatchewan, Star City",-104.33,52.87,2024-08-20T10:57:35.696191,False
Canada,"Saskatchewan, Star City",-104.85,53.35,2024-08-20T10:57:35.698534,False
Greece,Thessaloniki,22.8,40.63,2024-08-20T10:57:35.803420,False
Japan,Fukushima,140.38,37.72,2024-08-20T10:57:35.882887,False
Japan,"Shiga Prefecture, Hikone",136.22,35.25,2024-08-20T10:57:35.884398,False
Malawi,"Chitedze Research Station, Chitedze",33.65,-13.97,2024-08-20T10:57:35.890634,False
USA,"Arkansas, Colt (Pine Tree Branch Experiment Station)",-90.74,35.14,2024-08-20T10:57:36.022901,False
USA,"Arlington, Wisconsin",-98.33,43.3,2024-08-20T10:57:36.024671,False
USA,"Bossier City, Louisiana",-93.64,32.42,2024-08-20T10:57:36.026535,False
USA,"Indiana, West Lafayette",-86.92,40.43,2024-08-20T10:57:36.064361,False
