year,month,2m_temperature,total_precipitation,surface_solar_radiation_downwards,surface_thermal_radiation_downwards,surface_net_solar_radiation,surface_net_thermal_radiation,total_cloud_cover,2m_dewpoint_temperature,soil_temperature_level_3,volumetric_soil_water_layer_3,10m_u_component_of_wind,10m_v_component_of_wind,evaporation,surface_pressure,snowfall,location_country,location_name
1994,1,264.67554,0.0025208504,1235771.0,20502028.0,730813.4,-2851616.0,0.71451896,262.63867,273.5022,0.35678864,0.56536454,-0.29439747,-7.540728e-05,95383.625,0.0025120995,Norway,"Kapp, Apelsvoll Research Centre"
1994,2,261.24292,0.00078985514,4179887.0,18972348.0,2471471.0,-3235129.0,0.5544396,258.53296,273.23926,0.34217918,-0.1894123,-0.63140535,-2.8756695e-05,97730.25,0.0007908088,Norway,"Kapp, Apelsvoll Research Centre"
1994,3,271.4204,0.0020116414,8674110.0,20919684.0,5403274.0,-4915306.0,0.6854671,267.28076,273.0161,0.3300668,0.38522667,1.1051989,-0.0003929881,95475.19,0.0015688096,Norway,"Kapp, Apelsvoll Research Centre"
1994,4,276.84717,0.0018330843,13499507.0,23679096.0,9465835.0,-4176163.0,0.7104016,272.1726,272.99878,0.3732972,-0.21020943,0.95049876,-0.000706919,96383.56,0.0010185989,Norway,"Kapp, Apelsvoll Research Centre"
1994,5,281.64917,0.0006909545,20611928.0,23785516.0,18253712.0,-6229876.0,0.5027389,273.50024,276.20605,0.368259,0.024395112,-0.23688293,-0.0020018579,97027.5,1.014846e-05,Norway,"Kapp, Apelsvoll Research Centre"
1994,6,285.13623,0.0020641813,21163300.0,25983052.0,18841262.0,-5681897.0,0.6260478,277.56104,280.68018,0.31249088,1.3948832,0.35735863,-0.0025531997,96232.56,0.0,Norway,"Kapp, Apelsvoll Research Centre"
1994,7,292.48755,0.0007355297,21803664.0,28786192.0,19258108.0,-6202624.0,0.43580532,283.30933,286.47314,0.2583843,0.05150766,0.8694967,-0.0020233775,97349.125,0.0,Norway,"Kapp, Apelsvoll Research Centre"
1994,8,287.4812,0.005385753,13128092.0,28529566.0,11645453.0,-4454530.0,0.68515813,282.49316,286.59302,0.25276816,-0.63778913,-0.31933242,-0.0021492967,96753.125,0.0,Norway,"Kapp, Apelsvoll Research Centre"
1994,9,281.80933,0.0038733222,8253788.0,25924994.0,7388346.0,-4454069.0,0.67458534,278.11108,282.55908,0.34239924,-0.36102074,-0.37927485,-0.0016380623,96512.0,0.00016107161,Norway,"Kapp, Apelsvoll Research Centre"
1994,10,277.11523,0.0014159279,4571316.0,23945672.0,4063931.0,-4307045.0,0.67429024,273.46118,277.98877,0.35181594,0.5353515,0.37005907,-0.00076993834,96535.56,0.00036356854,Norway,"Kapp, Apelsvoll Research Centre"
1994,11,273.4807,0.0012483697,1378583.0,23597556.0,1114182.0,-3173003.0,0.7450634,271.562,275.72778,0.36354172,0.54299474,0.52947026,-0.00041340105,96648.75,0.0009117697,Norway,"Kapp, Apelsvoll Research Centre"
